Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Armenien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;16,81;17,04;17,56;19,46;19,49;19,92;20,16;22,57;20,26;20,75;23,25;24,33;24,64;25,12
Armenien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;19,09;19,16;19,68;21,58;21,54;22,06;22,43;25,18;22,52;23,2;26,05;27,32;27,66;28,19
Armenien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;4,745;4,892;5,152;5,732;5,675;5,696;5,634;6,216;5,95;5,762;6,306;6,424;6,421;6,467
Armenien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;13,9;14,19;14,77;16,66;16,76;17;16,97;18,79;17,69;17,37;19,15;19,7;19,76;19,96
Armenien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;160,2;163,6;173,8;192,1;193,1;200,1;205;232;193,1;209,9;203,8;244,5;250;256,7
Armenien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;139,8;143,6;152,6;170;171,9;178,3;182,6;206,9;170,8;187;182,1;219,1;224,3;230,7
Armenien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;5,363;5,226;5,576;5,848;5,68;5,805;5,978;6,733;6,141;6,333;6,015;7,05;7,008;7,007
Armenien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;14,97;14,81;15,62;16,26;15,5;16,06;16,44;18,38;16,15;16,6;15,71;18,35;18,66;19,01
Armenien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,122;6,235;10,529;0,521;3,625;2,449;13,171;-16,767;8,7;-2,906;19,971;2,249;2,68
Armenien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;2,718;6,267;11,402;1,118;3,723;2,412;13,308;-17,448;9,485;-2,62;20,319;2,373;2,853
Armenien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-2,555;6,697;4,878;-2,873;2,201;2,98;12,63;-8,793;3,127;-5,021;17,207;-0,596;-0,014
Armenien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-1,069;5,469;4,097;-4,674;3,613;2,366;11,8;-12,133;2,786;-5,361;16,805;1,689;1,876
Armenien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;55,54;56,46;59,67;65,66;65,76;67,96;69,45;78,45;65,16;70,71;68,58;82,18;84;86,23
Armenien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;48,49;49,54;52,39;58,1;58,54;60,53;61,85;69,96;57,64;62,99;61,27;73,65;75,37;77,49
Armenien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;1,859;1,804;1,915;1,999;1,935;1,971;2,025;2,277;2,072;2,134;2,024;2,37;2,354;2,354
Armenien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;5,189;5,111;5,364;5,556;5,278;5,453;5,57;6,213;5,451;5,592;5,285;6,167;6,269;6,385
Armenien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,684;99,635;99,553;99,169;98,553;98,468;98,281;98,023;97,711
Armenien;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,316;0,365;0,447;0,831;1,447;1,532;1,719;1,977;2,289
Armenien;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Armenien;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
