Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Belgien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;40,24;40,97;40,86;41,4;41,86;42,51;43,24;44,19;38,4;44,69;50,68;53,35;54,33;55,43
Belgien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;43,48;44,67;45,02;46,01;47,1;48,26;49,45;50,86;44,4;51,88;59,05;62,26;63,37;64,66
Belgien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;6,338;6,485;6,618;6,832;7,144;7,51;7,863;8,16;7,894;8,599;9,486;9,738;9,799;9,876
Belgien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;11,44;11,74;12,08;12,51;13,06;13,71;14,28;14,77;13,68;15,14;16,73;17,19;17,3;17,44
Belgien;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;3,658;3,551;3,333;3,262;3,099;3,066;3,089;3,18;2,68;3,264;3,368;3,871;3,995;4,123
Belgien;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;3,582;3,467;3,241;3,16;2,986;2,94;2,95;3,027;2,532;3,092;3,19;3,67;3,789;3,913
Belgien;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,026;0,027;0,028;0,03;0,032;0,034;0,036;0,038;0,037;0,041;0,04;0,042;0,042;0,042
Belgien;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,05;0,057;0,064;0,072;0,081;0,092;0,103;0,115;0,111;0,132;0,138;0,159;0,164;0,168
Belgien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-2,925;-6,139;-2,13;-4,997;-1,065;0,75;2,946;-15,723;21,791;3,186;14,935;3,203;3,204
Belgien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-3,21;-6,519;-2,499;-5,506;-1,541;0,34;2,61;-16,353;22,117;3,169;15,047;3,243;3,273
Belgien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;3,7;3,531;4,782;6,242;6,822;6,239;6,374;-3,82;10,8;-2,111;6,471;-1,743;-0,144
Belgien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;13,838;12,721;12,412;12,74;13,314;12,589;10,939;-3,229;19,116;4,088;15,782;2,952;2,746
Belgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;330;318,4;297,1;288,9;272,9;268,5;269,1;275,6;231,2;280,6;288,6;330,9;340,6;350,7
Belgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;323,1;310,8;288,8;279,9;263;257,5;256,9;262,4;218,5;265,8;273,4;313,7;323,1;332,8
Belgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;2,39;2,463;2,534;2,64;2,788;2,961;3,129;3,312;3,172;3,502;3,417;3,628;3,556;3,542
Belgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;4,492;5,081;5,694;6,363;7,132;8,035;8,994;9,933;9,571;11,36;11,78;13,61;13,97;14,32
Belgien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,787;99,76;99,729;99,658;99,624;99,588;99,548;99,504;99,453
Belgien;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,213;0,24;0,271;0,342;0,376;0,412;0,452;0,496;0,547
Belgien;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;68,701;67,08;65,62;64,097;63,208;62,506;61,981;61,97;61,966
Belgien;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;31,299;32,92;34,38;35,903;36,792;37,494;38,019;38,03;38,034
Belgien;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;74,758;74,854;74,883;75,859;77,129;78,278;79,108;79,685;75,684;78,746;79,843;81,145;81,495;81,837
Belgien;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;25,242;25,146;25,117;24,141;22,871;21,722;20,892;20,315;24,316;21,254;20,157;18,855;18,505;18,163
Belgien;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;16,876;16,881;16,682;16,681;16,674;16,708;16,841;16,946;13,67;15,728;16,507;17,481;17,701;17,923
Belgien;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;83,124;83,119;83,318;83,319;83,326;83,292;83,159;83,054;86,33;84,272;83,493;82,519;82,299;82,077
Belgien;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;90,899;86,679;81,574;78,789;74,035;72,119;71,456;71,967;69,795;73,052;66,45;72,566;73,524;74,393
Belgien;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;82,367;77,617;71,987;68,685;63,404;60,922;59,658;59,521;57,027;59,589;54,031;58,943;59,795;60,516
Belgien;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;4,18;4,236;4,297;4,362;4,431;4,503;4,569;4,683;4,657;4,737;4,203;4,359;4,256;4,218
Belgien;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;4,352;4,826;5,29;5,742;6,2;6,695;7,23;7,762;8,111;8,726;8,217;9,264;9,473;9,659
Belgien;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;-4,643;-5,89;-3,413;-6,034;-2,589;-0,919;0,715;-3,018;4,666;-9,037;9,203;1,321;1,181
Belgien;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;-5,767;-7,254;-4,587;-7,688;-3,916;-2,074;-0,229;-4,192;4,494;-9,328;9,091;1,446;1,206
Belgien;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;1,346;1,441;1,523;1,58;1,612;1,467;2,503;-0,55;1,703;-11,272;3,721;-2,363;-0,908
Belgien;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;10,888;9,612;8,55;7,971;7,982;7,992;7,37;4,491;7,577;-5,833;12,748;2,259;1,958
Belgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;8,2;7,771;7,27;6,98;6,52;6,315;6,223;6,237;6,022;6,28;5,695;6,203;6,269;6,327
Belgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;7,43;6,959;6,415;6,085;5,584;5,335;5,196;5,158;4,92;5,123;4,631;5,038;5,098;5,147
Belgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,377;0,38;0,383;0,386;0,39;0,394;0,398;0,406;0,402;0,407;0,36;0,373;0,363;0,359
Belgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,393;0,433;0,471;0,509;0,546;0,586;0,63;0,673;0,7;0,75;0,704;0,792;0,808;0,821
Belgien;Kaffee;Nutzer nach Alter;18-24 Jahre;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;7,85;;;;
Belgien;Kaffee;Nutzer nach Alter;25-34 Jahre;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;17,906;;;;
Belgien;Kaffee;Nutzer nach Alter;35-44 Jahre;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;22,039;;;;
Belgien;Kaffee;Nutzer nach Alter;45-54 Jahre;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;27,686;;;;
Belgien;Kaffee;Nutzer nach Alter;55-64 Jahre;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;24,518;;;;
Belgien;Kaffee;Nutzer nach Geschlecht;männlich;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;48,347;;;;
Belgien;Kaffee;Nutzer nach Geschlecht;weiblich;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;51,653;;;;
Belgien;Kaffee;Nutzer nach Einkommen;hohes Einkommen;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;34,066;;;;
Belgien;Kaffee;Nutzer nach Einkommen;mittleres Einkommen;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;29,67;;;;
Belgien;Kaffee;Nutzer nach Einkommen;niedriges Einkommen;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;36,264;;;;
Belgien;Kaffee;Preis pro Einheit;Average;EUR (€);Statista;43,48;44,67;45,02;46,01;47,1;48,26;49,45;50,86;44,4;51,88;59,05;62,26;63,37;64,66
Belgien;Kaffee;Preis pro Einheit;Instant-Kaffee;EUR (€);Statista;28,37;28,57;28,65;28,9;29,39;30,02;30,54;31,12;27,52;31,24;35,1;36,51;36,83;37,24
Belgien;Kaffee;Preis pro Einheit;Röstkaffee;EUR (€);Statista;45,65;47,14;47,77;49,06;50,62;52,12;53,6;55,22;48,18;56,35;64,14;67,62;68,82;70,23
Belgien;Kaffee;Umsatz;Total;Milliarden EUR (€);Statista;3,582;3,467;3,241;3,16;2,986;2,94;2,95;3,027;2,532;3,092;3,19;3,67;3,789;3,913
Belgien;Kaffee;Umsatz;Instant-Kaffee;Milliarden EUR (€);Statista;0,293;0,295;0,296;0,301;0,309;0,319;0,328;0,335;0,287;0,332;0,333;0,371;0,375;0,38
Belgien;Kaffee;Umsatz;Röstkaffee;Milliarden EUR (€);Statista;3,289;3,172;2,945;2,859;2,677;2,621;2,622;2,692;2,245;2,76;2,858;3,298;3,414;3,533
Belgien;Kaffee;Umsatzveränderung;Total;Prozent;Statista;;-3,21;-6,519;-2,499;-5,506;-1,541;0,34;2,61;-16,353;22,117;3,169;15,047;3,243;3,273
Belgien;Kaffee;Umsatzveränderung;Instant-Kaffee;Prozent;Statista;;0,683;0,475;1,518;2,692;3,269;2,726;2,166;-14,333;15,58;0,271;11,639;1,105;1,279
Belgien;Kaffee;Umsatzveränderung;Röstkaffee;Prozent;Statista;;-3,557;-7,156;-2,92;-6,366;-2,092;0,038;2,67;-16,605;22,94;3,551;15,395;3,517;3,486
Belgien;Kaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;323,1;310,8;288,8;279,9;263;257,5;256,9;262,4;218,5;265,8;273,4;313,7;323,1;332,8
