Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Bulgarien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;15,32;16,1;16,34;16,57;17,09;17,62;19,15;19,95;20,03;21,88;24,44;25,18;25,58;25,99
Bulgarien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;16,84;17,44;17,54;17,77;18,31;18,87;20,56;21,43;21,53;23,54;26,3;27,11;27,54;27,98
Bulgarien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,842;6,084;6,464;6,59;6,677;6,785;6,929;7,012;6,979;7,329;7,945;7,935;7,971;8,017
Bulgarien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;17,66;18,3;19,15;19,55;19,83;20,18;20,76;21,14;21,11;22,45;24,62;24,89;25,11;25,35
Bulgarien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;376,1;413,4;444,7;474;503,8;531,2;586,4;618,2;514,9;638,7;663,2;769,2;791,3;813,2
Bulgarien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;343,4;381,7;411,5;439,2;468,4;495,2;549,2;580,4;483,4;601,4;625,7;727,2;748,8;770,3
Bulgarien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;20,11;18,74;19,73;21,01;21,34;21,54;21,99;22,25;18,39;21,52;21,42;23,76;23,97;24,18
Bulgarien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;12,6;12,96;13,44;13,76;14,03;14,47;15,18;15,62;13,09;15,73;16,04;18,24;18,52;18,78
Bulgarien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;9,918;7,571;6,589;6,287;5,439;10,392;5,423;-16,71;24,044;3,836;15,983;2,873;2,768
Bulgarien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;11,153;7,807;6,731;6,648;5,722;10,905;5,681;-16,713;24,41;4,041;16,222;2,97;2,871
Bulgarien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-6,813;5,283;6,488;1,571;0,937;2,089;1,182;-17,348;17,02;-0,465;10,924;0,884;0,876
Bulgarien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;2,857;3,704;2,381;1,962;3,136;4,907;2,899;-16,197;20,168;1,971;13,716;1,535;1,404
Bulgarien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;51,28;56,7;61,38;65,83;70,44;74,79;83,16;88,32;74,1;92,61;96,89;113,2;117,4;121,6
Bulgarien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;46,82;52,35;56,8;61;65,49;69,72;77,89;82,91;69,57;87,21;91,41;107,1;111,1;115,2
Bulgarien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;2,742;2,571;2,723;2,918;2,984;3,033;3,118;3,179;2,647;3,12;3,13;3,498;3,557;3,616
Bulgarien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;1,719;1,778;1,855;1,911;1,961;2,038;2,153;2,232;1,884;2,28;2,344;2,686;2,747;2,808
Bulgarien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,711;99,665;99,589;99,223;99,087;98,948;98,741;98,458;98,1
