Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Dänemark;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;106,2;109,5;111,9;115,2;121,7;127,1;132;135,1;115,5;135,4;152,4;161,1;163,9;167,2
Dänemark;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;113,2;116,5;119;122,5;129,3;135;140;143,3;122,9;143,8;162;171,2;174,1;177,7
Dänemark;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;12,52;12,76;12,89;13;13,34;13,65;13,99;14,26;12,82;14,34;15,77;16,34;16,47;16,65
Dänemark;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;66,95;69,81;72,95;76,45;81,57;86,27;91,62;95,85;85,09;98,06;109,4;114,2;115,1;116,3
Dänemark;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;4,776;4,89;4,961;5,049;5,263;5,436;5,693;6,024;5,028;6,33;6,589;7,763;8,15;8,565
Dänemark;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;4,696;4,809;4,879;4,963;5,167;5,329;5,58;5,905;4,922;6,206;6,464;7,621;8,004;8,415
Dänemark;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,035;0,035;0,035;0,034;0,034;0,033;0,034;0,036;0,034;0,039;0,04;0,046;0,048;0,05
Dänemark;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,045;0,046;0,048;0,052;0,061;0,074;0,079;0,083;0,073;0,084;0,085;0,096;0,098;0,1
Dänemark;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,387;1,452;1,774;4,238;3,287;4,728;5,814;-16,534;25,895;4,092;17,818;4,985;5,092
Dänemark;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;2,406;1,456;1,722;4,11;3,135;4,71;5,824;-16,647;26,087;4,157;17,899;5,026;5,135
Dänemark;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-1,083;-0,173;-1,212;-1,081;-2,127;2,113;6,237;-5,954;16,805;1,874;14,073;4,381;4,302
Dänemark;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;4,08;2,369;9,005;18,471;20,039;7,587;4,756;-12,596;16,313;0,355;12,901;2,154;2,016
Dänemark;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;851,2;867,4;875,8;887,5;921,4;948,3;989,7;1.044;868,1;1.089;1.129;1.325;1.386;1.452
Dänemark;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;837;853;861,3;872,4;904,7;929,6;970,1;1.023;849,7;1.068;1.108;1.301;1.362;1.426
Dänemark;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;6,253;6,155;6,116;6,015;5,928;5,78;5,882;6,227;5,836;6,791;6,892;7,833;8,146;8,465
Dänemark;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;7,951;8,234;8,391;9,107;10,75;12,85;13,78;14,39;12,53;14,52;14,52;16,33;16,62;16,89
Dänemark;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,63;99,506;99,342;98,986;98,691;98,31;97,81;97,14;96,216
Dänemark;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,37;0,494;0,658;1,014;1,309;1,69;2,19;2,86;3,784
Dänemark;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;67,662;65,872;64,09;62,314;60,691;60,296;59,973;59,651;59,329
Dänemark;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;32,338;34,128;35,91;37,686;39,309;39,704;40,027;40,349;40,671
Dänemark;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;88,948;89,536;89,935;89,991;90,313;90,443;90,613;90,788;88,553;90,347;90,997;91,698;91,908;92,112
Dänemark;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;11,052;10,464;10,065;10,009;9,687;9,557;9,387;9,212;11,447;9,653;9,003;8,302;8,092;7,888
Dänemark;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;23,01;23,337;23,554;23,973;24,626;25,234;25,734;25,972;21,353;24,452;25,673;27,149;27,46;27,774
Dänemark;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;76,99;76,663;76,446;76,027;75,374;74,766;74,266;74,028;78,647;75,548;74,327;72,851;72,54;72,226
Dänemark;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;44,965;44,653;44,327;43,82;43,258;42,755;43,126;44,59;43,54;46,761;43,228;48,171;49,728;51,222
Dänemark;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;41,496;41,27;40,988;40,511;39,968;39,474;39,843;41,203;40,05;43,147;39,904;44,525;45,971;47,365
Dänemark;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;2,802;2,718;2,687;2,631;2,537;2,427;2,418;2,52;2,637;2,753;2,55;2,808;2,908;3
Dänemark;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;0,666;0,665;0,651;0,678;0,753;0,854;0,865;0,866;0,853;0,861;0,774;0,837;0,849;0,857
Dänemark;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;-0,692;-0,731;-1,143;-1,284;-1,163;0,869;3,394;-2,354;7,398;-7,556;11,435;3,231;3,005
Dänemark;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;-0,546;-0,682;-1,164;-1,342;-1,236;0,935;3,414;-2,799;7,733;-7,518;11,583;3,246;3,032
Dänemark;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;-2,979;-1,149;-2,084;-3,564;-4,356;-0,368;4,229;4,637;4,395;-7,382;10,143;3,549;3,151
Dänemark;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;-0,191;-2,048;4,033;11,036;13,485;1,321;0,119;-1,534;0,918;-10,038;8,107;1,377;1,019
Dänemark;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;8,014;7,92;7,826;7,703;7,574;7,459;7,497;7,725;7,517;8,044;7,408;8,225;8,459;8,681
Dänemark;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;7,396;7,32;7,236;7,121;6,998;6,886;6,927;7,139;6,914;7,422;6,839;7,602;7,82;8,027
Dänemark;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,499;0,482;0,474;0,463;0,444;0,423;0,42;0,437;0,455;0,474;0,437;0,479;0,495;0,508
Dänemark;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,119;0,118;0,115;0,119;0,132;0,149;0,15;0,15;0,147;0,148;0,133;0,143;0,144;0,145
Dänemark;Röstkaffee;Preis pro Einheit;Average;EUR (€);Statista;111,2;114,5;116,9;120,3;127,2;132,9;137,9;141,2;121,4;141,9;159,6;168,5;171,3;174,7
Dänemark;Röstkaffee;Preis pro Einheit;Röstkaffee, außer Haus;EUR (€);Statista;392,7;401,1;407;411,1;423,1;431;439,3;446,5;454,1;474;511,9;515,7;520;525,9
Dänemark;Röstkaffee;Preis pro Einheit;Röstkaffee, zu Hause;EUR (€);Statista;14,48;13,99;13,59;13,8;14,1;14,38;14,57;14,68;14,67;15,1;16,14;16,07;16,02;16,04
Dänemark;Röstkaffee;Umsatz;Total;Milliarden EUR (€);Statista;4,319;4,406;4,449;4,506;4,678;4,805;5,023;5,319;4,437;5,605;5,841;6,894;7,247;7,628
Dänemark;Röstkaffee;Umsatz;Röstkaffee, außer Haus;Milliarden EUR (€);Statista;3,9;4,007;4,068;4,127;4,302;4,433;4,646;4,928;4,032;5,173;5,422;6,437;6,778;7,145
Dänemark;Röstkaffee;Umsatz;Röstkaffee, zu Hause;Milliarden EUR (€);Statista;0,419;0,399;0,381;0,379;0,375;0,372;0,377;0,391;0,406;0,432;0,42;0,457;0,469;0,482
Dänemark;Röstkaffee;Umsatzveränderung;Total;Prozent;Statista;;2,014;0,976;1,281;3,817;2,715;4,537;5,893;-16,582;26,324;4,211;18,028;5,12;5,257
