Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estland;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;21,94;23,78;25,17;26,35;27,92;29,88;31,45;32,7;29,71;34,02;38,62;40,57;41,36;42,22
Estland;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;21,23;23,05;24,43;25,64;27,32;29,39;30,87;32,12;29,1;33,43;38,03;40,03;40,87;41,78
Estland;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;9,954;10,33;10,74;11,21;11,82;12,53;13,07;13,48;12,93;14,09;15,62;16,01;16,2;16,41
Estland;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;34,28;36,84;38,92;40,07;41,05;42,12;46,61;48,78;45,82;51,32;57,15;59;59,29;59,63
Estland;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;174;179;181,5;182,5;187,1;195,3;201;209,5;182,6;220,5;225,9;258,6;266,8;275,1
Estland;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;155,7;159,9;162;163,3;168,5;176,9;182,1;190,3;165,8;201,2;206,7;237,4;245,6;253,9
Estland;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;0,938;1,022;1,119;1,225;1,343;1,464;1,557;1,626;1,491;1,682;1,676;1,854;1,853;1,867
Estland;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;17,44;18,07;18,33;17,99;17,29;17;17,33;17,58;15,36;17,62;17,49;19,36;19,36;19,38
Estland;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,874;1,397;0,551;2,521;4,383;2,919;4,229;-12,84;20,756;2,449;14,475;3,171;3,111
Estland;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;2,697;1,313;0,802;3,184;4,985;2,94;4,503;-12,874;21,351;2,734;14,852;3,454;3,379
Estland;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;8,967;9,491;9,473;9,633;9,01;6,352;4,432;-8,303;12,81;-0,357;10,621;-0,054;0,756
Estland;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;3,612;1,439;-1,855;-3,891;-1,677;1,941;1,443;-12,628;14,714;-0,738;10,692;0;0,103
Estland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;131,5;135,7;137,9;138,8;142,1;148;151,9;158;137,7;166,4;170,9;196,3;203,3;210,6
Estland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;117,6;121,3;123,1;124,2;128;134,1;137,7;143,6;125;151,8;156,4;180,2;187,2;194,3
Estland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;0,709;0,774;0,85;0,931;1,02;1,11;1,177;1,226;1,124;1,269;1,268;1,408;1,413;1,429
Estland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;13,18;13,7;13,92;13,68;13,13;12,88;13,1;13,26;11,58;13,3;13,23;14,7;14,76;14,84
Estland;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,453;99,378;99,212;98,595;97,974;97,77;97,453;96,991;96,409
Estland;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,547;0,622;0,788;1,405;2,026;2,23;2,547;3,009;3,591
Estland;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;66,19;63,352;60,429;58,429;56,85;55,766;54,755;54,243;53,729
Estland;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;33,81;36,648;39,571;41,571;43,15;44,234;45,245;45,757;46,271
Estland;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;60,817;60,481;59,537;58,814;59,616;61,403;62,598;63,516;58,946;63,047;64,811;66,717;67,46;68,172
Estland;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;39,183;39,519;40,463;41,186;40,384;38,597;37,402;36,484;41,054;36,953;35,189;33,283;32,54;31,828
Estland;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;6,248;6,321;6,306;6,442;6,722;6,975;7,202;7,333;6,001;6,92;7,322;7,783;7,91;8,038
Estland;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;93,752;93,679;93,694;93,558;93,278;93,025;92,798;92,667;93,999;93,08;92,678;92,217;92,09;91,962
Estland;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;7,934;7,528;7,209;6,927;6,701;6,538;6,391;6,406;6,148;6,482;5,848;6,373;6,45;6,516
