Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Frankreich;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;35,11;38,71;39,88;40,31;41,67;43,08;44,84;46,06;38,91;45,47;51,3;53,79;54,07;54,46
Frankreich;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;37,09;41,06;42,27;42,72;44,26;45,88;48,02;49,36;41,59;48,73;55,05;57,82;58,2;58,71
Frankreich;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;13,11;13,56;14,06;14,35;14,57;14,77;15;15,27;13,91;15,59;17,4;17,98;17,96;17,97
Frankreich;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;39,52;41,02;42,43;43,98;46,17;48,7;51,43;53,27;47,14;54;60,82;63,18;63,59;64,09
Frankreich;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;11,46;12,92;13,4;13,28;13,25;13,11;12,68;12,88;10,39;12,24;12,18;13,53;13,46;13,41
Frankreich;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;10,55;11,97;12,42;12,27;12,21;12,02;11,54;11,69;9,331;11,03;10,97;12,2;12,13;12,07
Frankreich;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,372;0,386;0,401;0,41;0,417;0,424;0,429;0,438;0,398;0,448;0,444;0,489;0,491;0,493
Frankreich;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,544;0,566;0,586;0,604;0,631;0,663;0,715;0,749;0,659;0,758;0,757;0,837;0,844;0,852
Frankreich;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;12,74;3,715;-0,896;-0,226;-1,057;-3,28;1,577;-19,332;17,806;-0,49;11,084;-0,517;-0,371
Frankreich;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;13,46;3,759;-1,208;-0,489;-1,556;-3,993;1,3;-20,18;18,208;-0,544;11,212;-0,574;-0,495
Frankreich;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;3,657;3,943;2,271;1,781;1,654;1,274;1,98;-9,089;12,409;-0,737;10,176;0,306;0,346
Frankreich;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;4,047;3,571;3,039;4,539;5,135;7,748;4,827;-11,985;14,996;-0,224;10,599;0,801;0,936
Frankreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;180,3;202,3;208,8;206;205;202,2;195,2;197,7;159,1;187;185,7;205,8;204,3;203
