Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Georgien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;17,36;17,18;17,4;17,55;18,02;18,22;18,29;18,43;15,49;15,88;18,34;19,55;20;20,46
Georgien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;20,25;19,78;20,03;20,11;20,65;20,95;21,17;21,4;17,86;18,49;21,42;22,93;23,51;24,12
Georgien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,097;5,107;5,269;5,317;5,365;5,277;5,143;5,07;4,552;4,379;4,919;5,089;5,16;5,241
Georgien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;14,94;14,91;15,19;15,43;15,87;15,8;15,63;15,54;13,68;13,42;15,21;15,9;16,14;16,4
Georgien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;205,4;203,5;212,7;219,8;230,7;240,3;247,2;255,3;207,9;225,6;239,1;281;294,4;308,3
Georgien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;164,4;165;171,8;177,8;187,8;196,1;203;210,7;169,5;186,4;198,9;235,2;247,1;259,4
Georgien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;7,51;7,172;7,703;7,841;8,137;8,198;8,421;8,55;7,67;7,831;8,058;9,232;9,716;10,25
Georgien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;33,5;31,36;33,19;34,15;34,77;36;35,85;36,1;30,8;31,38;32,21;36,59;37,62;38,72
Georgien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-0,925;4,521;3,338;4,959;4,161;2,871;3,277;-18,566;8,514;5,984;17,524;4,769;4,721
Georgien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;0,365;4,121;3,492;5,624;4,42;3,519;3,793;-19,554;9,971;6,706;18,25;5,06;4,978
Georgien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-4,501;7,404;1,792;3,775;0,75;2,72;1,532;-10,292;2,099;2,899;14,569;5,243;5,496
Georgien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-6,388;5,835;2,892;1,816;3,538;-0,417;0,697;-14,681;1,883;2,645;13,598;2,815;2,924
Georgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;50,55;50,26;52,71;54,61;57,46;59,95;61,77;63,89;52,12;56,69;60,26;71,02;74,67;78,47
Georgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;40,45;40,74;42,58;44,18;46,78;48,93;50,71;52,71;42,48;46,83;50,11;59,44;62,66;66,01
Georgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;1,848;1,771;1,909;1,948;2,027;2,045;2,104;2,139;1,923;1,968;2,03;2,334;2,464;2,609
Georgien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;8,242;7,746;8,225;8,486;8,66;8,98;8,955;9,032;7,72;7,884;8,115;9,25;9,541;9,853
Georgien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,681;99,607;99,493;98,974;98,181;97,994;97,731;97,369;96,941
Georgien;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,319;0,393;0,507;1,026;1,819;2,006;2,269;2,631;3,059
Georgien;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Georgien;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Georgien;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;48,808;50,304;51,312;52,728;54,186;55,439;56,532;57,659;52,832;57,111;58,84;60,609;61,192;61,688
Georgien;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;51,192;49,696;48,688;47,272;45,814;44,561;43,468;42,341;47,168;42,889;41,16;39,391;38,808;38,312
Georgien;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;6,186;6,531;6,798;7,168;7,591;8,008;8,401;8,808;7,393;8,711;9,335;10,008;10,201;10,362
Georgien;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;93,814;93,469;93,202;92,832;92,409;91,992;91,599;91,192;92,607;91,289;90,665;89,992;89,799;89,638
Georgien;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;11,833;11,845;12,226;12,526;12,802;13,194;13,517;13,853;13,423;14,204;13,039;14,372;14,725;15,069
Georgien;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;8,118;8,338;8,579;8,839;9,094;9,362;9,587;9,844;9,486;10,078;9,283;10,256;10,51;10,752
Georgien;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;1,474;1,404;1,462;1,475;1,517;1,553;1,637;1,686;1,685;1,788;1,638;1,814;1,883;1,956
Georgien;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;2,242;2,103;2,185;2,213;2,192;2,278;2,293;2,323;2,252;2,337;2,118;2,301;2,332;2,361
Georgien;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;0,106;3,215;2,454;2,202;3,061;2,45;2,487;-3,103;5,816;-8,203;10,224;2,454;2,336
Georgien;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;2,713;2,892;3,028;2,882;2,955;2,396;2,685;-3,632;6,24;-7,896;10,491;2,473;2,3
Georgien;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;-4,689;4,093;0,873;2,863;2,403;5,419;2,983;-0,07;6,115;-8,382;10,727;3,805;3,867
Georgien;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;-6,182;3,907;1,255;-0,957;3,956;0,648;1,303;-3,065;3,806;-9,387;8,663;1,305;1,263
Georgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;2,912;2,926;3,03;3,113;3,188;3,291;3,377;3,466;3,365;3,569;3,285;3,633;3,734;3,835
Georgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;1,997;2,059;2,126;2,196;2,265;2,335;2,395;2,463;2,378;2,532;2,339;2,592;2,665;2,736
Georgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,363;0,347;0,362;0,366;0,378;0,387;0,409;0,422;0,422;0,449;0,413;0,459;0,478;0,498
Georgien;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,552;0,519;0,542;0,55;0,546;0,568;0,573;0,581;0,564;0,587;0,534;0,582;0,591;0,601
Georgien;Instant-Kaffee;Preis pro Einheit;Average;EUR (€);Statista;20,11;19,61;19,37;19,01;19,23;18,81;18,61;18,49;15,47;15,78;18,23;19,61;20,45;21,4
Georgien;Instant-Kaffee;Preis pro Einheit;Instant-Kaffee, außer Haus;EUR (€);Statista;170,5;168,4;164,1;159,7;161,9;153,7;150,7;147,5;135;126,2;139;141,2;142,9;145
