Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Island;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;59,38;62,87;69,66;80,71;96,56;113,2;112,2;110,8;85,35;100,6;113;118,6;121,1;124
Island;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;64,42;68,08;75,39;87,27;104,4;122,5;121,9;121,1;94,47;111,7;126,1;132,6;136,1;139,9
Island;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;15,65;16,74;18,56;21,22;24,73;27,92;27,2;26,47;21,37;24,01;26,46;27,21;27,47;27,83
Island;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;63,08;67,45;75,29;88,06;105,8;123,9;123,2;122;93,93;110,5;124,1;130,2;132,2;134,6
Island;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;121,5;131,1;148,3;173,4;209,6;248,2;249,3;250,7;193,7;234,4;238,4;271,3;281,8;292,9
Island;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;110,3;119;134,4;157,1;189,7;224,8;224,9;225,3;172,1;208,5;211,7;240,7;249,3;258,3
Island;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;3,254;3,516;3,981;4,562;5,367;6,071;6,288;6,581;6,025;7,065;7,239;8,194;8,631;9,061
Island;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;7,988;8,562;9,894;11,78;14,52;17,34;18,13;18,86;15,56;18,83;19,42;22,43;23,9;25,58
Island;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;7,901;13,12;16,925;20,877;18,416;0,443;0,562;-22,736;21,012;1,706;13,8;3,87;3,939
Island;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;7,888;12,941;16,89;20,751;18,503;0,044;0,178;-23,613;21,15;1,535;13,699;3,573;3,61
Island;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;8,052;13,225;14,594;17,646;13,117;3,574;4,66;-8,449;17,261;2,463;13,192;5,333;4,982
Island;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;7,186;15,557;19,062;23,26;19,421;4,556;4,026;-17,497;21,015;3,133;15,499;6,554;7,029
Island;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;373,2;400,6;451,4;525,2;630,8;742,2;740,5;739,6;567,6;682,6;690,1;781,1;806,7;834
Island;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;338,7;363,7;409,1;475,7;571;672,2;668;664,6;504,3;607,2;612,9;693;713,6;735,4
Island;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;9,992;10,75;12,12;13,81;16,16;18,16;18,67;19,41;17,66;20,58;20,96;23,59;24,71;25,8
Island;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;24,53;26,17;30,11;35,66;43,7;51,85;53,84;55,63;45,6;54,83;56,21;64,57;68,43;72,85
Island;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;97,8;97,733;97,569;95,796;95,415;94,753;93,748;92,393;90,719
Island;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;2,2;2,267;2,431;4,204;4,585;5,247;6,252;7,607;9,281
Island;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Island;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Island;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;74,497;75,399;76,686;78,085;79,372;80,971;81,442;82,14;77,412;81,269;82,71;84,204;84,664;85,057
Island;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;25,503;24,601;23,314;21,915;20,628;19,029;18,558;17,86;22,588;18,731;17,29;15,796;15,336;14,943
Island;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;19,935;20,839;21,851;22,957;24,036;25,077;25,763;26,331;20,71;24,459;25,918;27,657;27,849;27,994
Island;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;80,065;79,161;78,149;77,043;75,964;74,923;74,237;73,669;79,29;75,541;74,082;72,343;72,151;72,006
Island;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;2,047;2,085;2,129;2,149;2,17;2,192;2,223;2,264;2,269;2,331;2,109;2,288;2,327;2,362
Island;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;1,712;1,748;1,783;1,8;1,816;1,835;1,845;1,861;1,822;1,866;1,679;1,815;1,832;1,847
