Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Italien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;29,93;30,25;30,54;30,44;31,39;31,39;32,04;32,6;29,36;32,91;36,67;37,84;37,97;38,18
Italien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;32,24;32,63;32,91;32,79;33,83;33,8;34,54;35,16;31,72;35,57;39,63;40,9;41,07;41,32
Italien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;7,588;7,82;8,166;8,355;8,438;8,491;8,503;8,571;8,329;8,842;9,654;9,737;9,719;9,715
Italien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;19,29;19,93;20,46;21,22;21,98;22,76;23,38;23,85;22,44;24,51;27;27,52;27,47;27,46
Italien;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;9,335;9,485;9,647;9,75;10,2;10,36;10,69;10,94;9,5;11;11,04;12,34;12,51;12,69
Italien;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;8,998;9,124;9,264;9,344;9,779;9,922;10,23;10,48;9,046;10,5;10,55;11,81;11,97;12,14
Italien;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,193;0,204;0,213;0,223;0,229;0,234;0,239;0,243;0,241;0,258;0,251;0,272;0,275;0,279
Italien;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,144;0,157;0,17;0,183;0,195;0,207;0,215;0,224;0,214;0,238;0,238;0,263;0,267;0,271
Italien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;1,607;1,708;1,068;4,615;1,569;3,185;2,339;-13,163;15,789;0,364;11,775;1,378;1,439
Italien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;1,4;1,534;0,864;4,655;1,462;3,104;2,444;-13,683;16,073;0,476;11,943;1,355;1,42
Italien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;5,974;4,265;4,607;2,921;1,965;2,27;1,675;-0,741;6,971;-2,715;8,453;1,176;1,308
Italien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;8,87;8,02;7,955;6,332;6,057;3,872;4,334;-4,556;11,558;-0,336;10,648;1,636;1,534
Italien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;155,9;157,7;159,7;161;168,2;170,8;176,3;180,7;157,1;182,2;183,1;205,2;208,4;211,9
Italien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;150,3;151,6;153,4;154,3;161,2;163,5;168,8;173;149,6;174;175;196,3;199,4;202,8
Italien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;3,215;3,391;3,521;3,673;3,775;3,848;3,939;4,009;3,987;4,271;4,161;4,523;4,586;4,656
Italien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;2,41;2,611;2,809;3,025;3,21;3,405;3,539;3,698;3,534;3,948;3,943;4,371;4,451;4,532
Italien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,843;99,822;99,798;99,743;99,715;99,685;99,65;99,609;99,562
Italien;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,157;0,178;0,202;0,257;0,285;0,315;0,35;0,391;0,438
Italien;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;70,203;66,332;63,594;61,375;60,091;59,02;58,473;57,932;57,388
Italien;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;29,797;33,668;36,406;38,625;39,909;40,98;41,527;42,068;42,612
Italien;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;59,234;59,66;60,615;62,604;62,507;65,054;65,711;66,139;59,747;64,114;65,709;67,493;67,831;68,174
Italien;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;40,766;40,34;39,385;37,396;37,493;34,946;34,289;33,861;40,253;35,886;34,291;32,507;32,169;31,826
Italien;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;21,212;21,36;21,669;22,08;22,571;23,093;23,54;23,848;19,197;22,208;23,422;24,872;25,149;25,435
Italien;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;78,788;78,64;78,331;77,92;77,429;76,907;76,46;76,152;80,803;77,792;76,578;75,128;74,851;74,565
Italien;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;311,925;313,558;315,888;320,265;325,071;330,106;333,606;335,728;323,613;334,139;300,967;326,228;329,455;332,358
Italien;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;279,071;279,583;281,548;284,997;289,069;293,534;296,344;298,014;285,151;295,255;266,19;288,737;291,409;293,778
