Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Kroatien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;44,34;44,82;44,97;46,16;47,39;49,24;50,72;51,23;46,94;52,31;57,55;58,47;58,25;58,12
Kroatien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;46,67;47,11;47,21;48,4;49,6;51,46;53,01;53,57;49,29;54,84;60,28;61,21;60,99;60,87
Kroatien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;8,29;8,545;8,63;8,83;9,142;9,466;9,769;9,903;9,731;10,26;10,96;10,9;10,88;10,87
Kroatien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;45,05;47;48,66;50,77;52,7;54,23;55,19;55,95;54,38;58,48;63,54;63,74;63,3;62,96
Kroatien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;710,9;729,6;747;786,6;833,2;896,4;954,8;980,5;823,3;989,6;1.002;1.132;1.144;1.155
Kroatien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;698,2;717,9;735,3;774,3;820;882,2;939,7;964,9;808,1;973,4;986,9;1.116;1.128;1.138
Kroatien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;8,032;8,28;8,362;8,555;8,858;9,172;9,75;10,22;10,23;11,12;10,62;11,53;11,71;11,9
Kroatien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;4,68;3,421;3,278;3,724;4,434;5,085;5,381;5,41;4,904;5,026;4,575;4,637;4,4;4,306
Kroatien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,63;2,385;5,301;5,924;7,585;6,515;2,692;-16,033;20,199;1,253;12,974;1,06;0,962
Kroatien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;2,822;2,424;5,304;5,902;7,585;6,518;2,682;-16,25;20,455;1,387;13,081;1,075;0,887
Kroatien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;3,088;0,99;2,308;3,542;3,545;6,302;4,821;0,098;8,7;-4,496;8,569;1,561;1,623
Kroatien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-26,902;-4,18;13,606;19,066;14,682;5,821;0,539;-9,353;2,488;-8,973;1,355;-5,111;-2,136
