Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Lettland;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;23,35;23,73;23,95;24,24;24,58;25,07;25,68;26,26;25,13;27,45;30,55;31,35;31,63;31,95
Lettland;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;23,27;23,73;23,88;24,1;24,29;24,7;25,32;25,94;24,79;27,2;30,29;31,08;31,4;31,75
Lettland;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;7,558;8,606;9,561;10,14;10,35;10,46;10,59;10,72;10,53;11,09;12,07;12,11;12,17;12,24
Lettland;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;25,64;25,87;26,6;27,41;28,51;29,36;29,81;30,17;28,91;30,9;34,25;35,06;35,3;35,55
Lettland;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;153,9;150,2;145,6;145,3;147,4;152,7;176,1;182,5;161,6;185,1;186,3;209;209,8;210,8
Lettland;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;116,5;116;114,9;116;117,1;120,8;140,3;145,8;127,8;146,1;146,1;163;164,5;165,9
Lettland;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;1,344;1,53;1,7;1,803;1,84;1,859;1,883;1,905;1,744;1,911;1,87;2,032;2,047;2,063
Lettland;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;36,02;32,61;29,07;27,5;28,51;30,06;33,84;34,82;32,08;37,07;38,26;43,88;43,29;42,85
Lettland;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-2,404;-3,063;-0,206;1,445;3,596;15,324;3,634;-11,452;14,542;0,648;12,185;0,383;0,477
Lettland;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-0,429;-0,948;0,957;0,948;3,16;16,142;3,92;-12,346;14,319;0;11,567;0,92;0,851
Lettland;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;13,839;11,111;6,059;2,052;1,033;1,291;1,168;-8,451;9,576;-2,145;8,663;0,738;0,782
Lettland;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-9,467;-10,856;-5,401;3,673;5,437;12,575;2,896;-7,869;15,555;3,21;14,689;-1,345;-1,016
Lettland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;74,36;73,43;72,06;72,72;74,68;78,25;91,29;95,72;85,66;99,13;100,7;114,1;115,6;117,2
Lettland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;56,3;56,73;56,83;58,06;59,31;61,89;72,77;76,46;67,73;78,25;79,04;89,01;90,64;92,25
Lettland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;0,65;0,748;0,841;0,902;0,932;0,953;0,976;0,999;0,925;1,024;1,012;1,109;1,128;1,147
Lettland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;17,41;15,95;14,38;13,76;14,44;15,41;17,55;18,26;17,01;19,86;20,69;23,96;23,85;23,82
Lettland;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,774;99,685;99,512;99,231;99,079;98,91;98,704;98,419;98,056
Lettland;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,226;0,315;0,488;0,769;0,921;1,09;1,296;1,581;1,944
Lettland;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Lettland;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Lettland;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;28,708;30,505;32,858;34,516;35,825;37,301;39,864;41,175;37,619;41,617;43,152;44,985;45,707;46,337
Lettland;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;71,292;69,495;67,142;65,484;64,175;62,699;60,136;58,825;62,381;58,383;56,848;55,015;54,293;53,663
Lettland;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;6,601;7,202;7,656;8,111;8,521;8,882;9,521;9,903;8,519;9,818;10,39;11,067;11,344;11,593
Lettland;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;93,399;92,798;92,344;91,889;91,479;91,118;90,479;90,097;91,481;90,182;89,61;88,933;88,656;88,407
Lettland;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;6,588;6,327;6,081;5,993;5,998;6,091;6,856;6,951;6,428;6,743;6,096;6,665;6,634;6,6
Lettland;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;5,005;4,889;4,811;4,812;4,82;4,889;5,543;5,619;5,154;5,371;4,824;5,245;5,239;5,226
Lettland;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;0,178;0,178;0,178;0,178;0,178;0,178;0,178;0,178;0,166;0,172;0,155;0,168;0,168;0,169
Lettland;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;1,405;1,261;1,093;1,003;1;1,024;1,135;1,154;1,109;1,2;1,117;1,252;1,226;1,205
Lettland;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;-3,965;-3,884;-1,453;0,085;1,55;12,558;1,388;-7,516;4,895;-9,594;9,325;-0,46;-0,51
Lettland;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;-2,333;-1,593;0,021;0,17;1,437;13,364;1,38;-8,284;4,224;-10,185;8,726;-0,112;-0,246
Lettland;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;0,007;0,002;0,001;0;0;0;0;-6,883;4,089;-10,086;8,289;0,258;0,151
Lettland;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;-10,28;-13,317;-8,182;-0,309;2,373;10,892;1,644;-3,874;8,13;-6,877;12,056;-2,017;-1,731
Lettland;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;3,184;3,094;3,009;3;3,038;3,122;3,555;3,645;3,408;3,612;3,297;3,639;3,655;3,67
Lettland;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;2,419;2,391;2,38;2,409;2,441;2,506;2,874;2,947;2,732;2,877;2,609;2,864;2,887;2,906
Lettland;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,086;0,087;0,088;0,089;0,09;0,091;0,092;0,093;0,088;0,092;0,084;0,092;0,093;0,094
Lettland;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,679;0,616;0,541;0,502;0,507;0,525;0,589;0,605;0,588;0,643;0,604;0,683;0,676;0,67
Lettland;Röstkaffee;Preis pro Einheit;Average;EUR (€);Statista;22,85;23,16;23,16;23,29;23,43;23,82;24,52;25,14;23,89;26,36;29,39;30,21;30,51;30,84
Lettland;Röstkaffee;Preis pro Einheit;Röstkaffee, außer Haus;EUR (€);Statista;85,45;86,35;89,74;91,12;91,72;93,65;96,62;98,28;100,1;104,8;114,2;114,6;115;115,5
Lettland;Röstkaffee;Preis pro Einheit;Röstkaffee, zu Hause;EUR (€);Statista;16,19;15,93;15,27;14,92;14,6;14,44;14,33;14,38;14,4;14,99;16,32;16,29;16,31;16,36
Lettland;Röstkaffee;Umsatz;Total;Millionen EUR (€);Statista;77,16;80,09;81,77;84,64;86,72;90,69;109,9;115,2;101,3;118;119,2;134,7;137,2;139,7
Lettland;Röstkaffee;Umsatz;Röstkaffee, außer Haus;Millionen EUR (€);Statista;27,76;30,66;33,57;36,36;38,84;42,21;53,63;57,72;46,96;59,38;61,84;72,34;74,43;76,39
Lettland;Röstkaffee;Umsatz;Röstkaffee, zu Hause;Millionen EUR (€);Statista;49,39;49,42;48,21;48,28;47,88;48,48;56,25;57,43;54,31;58,59;57,35;62,34;62,76;63,28
Lettland;Röstkaffee;Umsatzveränderung;Total;Prozent;Statista;;3,797;2,098;3,51;2,457;4,578;21,182;4,823;-12,066;16,486;1,017;13,003;1,856;1,822
Lettland;Röstkaffee;Umsatzveränderung;Röstkaffee, außer Haus;Prozent;Statista;;10,447;9,491;8,311;6,821;8,677;27,055;7,626;-18,642;26,448;4,143;16,979;2,889;2,633
Lettland;Röstkaffee;Umsatzveränderung;Röstkaffee, zu Hause;Prozent;Statista;;0,061;-2,448;0,145;-0,829;1,253;16,027;2,098;-5,433;7,881;-2,116;8,701;0,674;0,829
Lettland;Röstkaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;37,29;39,16;40,46;42,37;43,93;46,48;56,98;60,4;53,69;63,19;64,47;73,53;75,59;77,66
Lettland;Röstkaffee;Durchschnittlicher Umsatz pro Kopf;Röstkaffee, außer Haus;EUR (€);Statista;13,42;14,99;16,61;18,2;19,67;21,64;27,81;30,27;24,9;31,81;33,45;39,5;41,01;42,47
Lettland;Röstkaffee;Durchschnittlicher Umsatz pro Kopf;Röstkaffee, zu Hause;EUR (€);Statista;23,87;24,17;23,85;24,17;24,25;24,85;29,17;30,12;28,79;31,38;31,02;34,03;34,58;35,18
Lettland;Röstkaffee;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,719;99,678;99,628;99,325;99,183;99,013;98,777;98,456;98,042
Lettland;Röstkaffee;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,281;0,322;0,372;0,675;0,817;0,987;1,223;1,544;1,958
Lettland;Röstkaffee;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Lettland;Röstkaffee;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Lettland;Röstkaffee;Volumen;Total;Millionen Kilogramm;Statista;3,376;3,457;3,531;3,634;3,702;3,808;4,481;4,581;4,24;4,475;4,056;4,458;4,496;4,528
Lettland;Röstkaffee;Volumen;Röstkaffee, außer Haus;Millionen Kilogramm;Statista;0,325;0,355;0,374;0,399;0,423;0,451;0,555;0,587;0,469;0,567;0,542;0,631;0,647;0,661
Lettland;Röstkaffee;Volumen;Röstkaffee, zu Hause;Millionen Kilogramm;Statista;3,051;3,102;3,157;3,235;3,279;3,357;3,926;3,994;3,77;3,909;3,514;3,827;3,849;3,867
Lettland;Röstkaffee;Volumenveränderung;Total;Prozent;Statista;;2,404;2,132;2,926;1,871;2,861;17,669;2,231;-7,451;5,563;-9,372;9,923;0,851;0,71
Lettland;Röstkaffee;Volumenveränderung;Röstkaffee, außer Haus;Prozent;Statista;;9,306;5,334;6,681;6,13;6,444;23,12;5,832;-20,114;20,779;-4,425;16,515;2,556;2,15
Lettland;Röstkaffee;Volumenveränderung;Röstkaffee, zu Hause;Prozent;Statista;;1,669;1,765;2,481;1,345;2,398;16,937;1,722;-5,589;3,67;-10,089;8,907;0,57;0,468
Lettland;Röstkaffee;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;1,632;1,691;1,747;1,819;1,875;1,952;2,324;2,402;2,248;2,397;2,194;2,434;2,477;2,518
Lettland;Röstkaffee;Durchschnittliches Volumen pro Kopf;Röstkaffee, außer Haus;Kilogramm;Statista;0,157;0,174;0,185;0,2;0,215;0,231;0,288;0,308;0,249;0,304;0,293;0,345;0,357;0,368
Lettland;Röstkaffee;Durchschnittliches Volumen pro Kopf;Röstkaffee, zu Hause;Kilogramm;Statista;1,475;1,517;1,562;1,619;1,661;1,721;2,036;2,094;1,999;2,094;1,901;2,09;2,121;2,15
