Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Litauen;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;17,19;18;18,67;19,68;20,81;22,34;23,33;24,44;23,75;26,86;30,66;32,08;32,92;33,73
Litauen;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;16,54;17,35;18,05;19,14;20,34;21,94;22,94;24,07;23,28;26,47;30,31;31,79;32,68;33,53
Litauen;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;7,715;8,165;8,233;7,967;7,648;7,448;7,288;7,321;7,244;7,752;8,538;8,608;8,674;8,751
Litauen;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;23,39;24,03;24,25;24,7;25,49;26,71;28,48;29,58;29,64;31,97;35,43;36,27;36,73;37,2
Litauen;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;198;208,5;220,6;242,1;269,6;305,1;321,4;334,6;282,5;334,5;346,5;394,9;401,5;407,2
Litauen;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;170,8;179,3;189,8;209,9;235,8;269,7;289,1;301,2;251,9;298,5;309,5;352,6;357,8;362,1
Litauen;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;0,337;0,389;0,382;0,383;0,4;0,403;0,421;0,449;0,423;0,508;0,529;0,608;0,644;0,681
Litauen;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;26,9;28,77;30,44;31,83;33,39;35,06;31,85;33;30,21;35,47;36,46;41,63;43,04;44,41
Litauen;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;5,303;5,803;9,746;11,359;13,168;5,343;4,107;-15,571;18,407;3,587;13,968;1,671;1,42
Litauen;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;4,977;5,856;10,59;12,339;14,377;7,193;4,185;-16,368;18,499;3,685;13,926;1,475;1,202
Litauen;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;15,661;-1,824;0,209;4,361;0,726;4,646;6,648;-5,766;19,915;4,196;14,918;5,89;5,842
Litauen;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;6,952;5,805;4,566;4,901;5,001;-9,156;3,611;-8,455;17,411;2,791;14,18;3,387;3,183
Litauen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;65,02;69,28;74,25;82,57;93,31;107,2;114,7;121,3;103,8;124,3;130,2;149,7;153,6;157,2
Litauen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;56,07;59,59;63,87;71,58;81,61;94,77;103,2;109,1;92,53;111;116,3;133,7;136,9;139,8
Litauen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;0,111;0,129;0,129;0,131;0,138;0,141;0,15;0,163;0,155;0,189;0,199;0,231;0,246;0,263
Litauen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;8,834;9,561;10,24;10,86;11,56;12,32;11,37;11,96;11,1;13,19;13,7;15,79;16,47;17,14
Litauen;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,887;99,873;99,858;99,815;99,799;99,781;99,761;99,739;99,713
Litauen;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,113;0,127;0,142;0,185;0,201;0,219;0,239;0,261;0,287
Litauen;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;65,186;62,496;60,274;58,868;57,646;56,856;56,345;55,861;55,381
Litauen;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;34,814;37,504;39,726;41,132;42,354;43,144;43,655;44,139;44,619
Litauen;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;35,823;37,253;39,584;43,011;45,986;49,2;52,693;54,871;52,547;56,955;59,351;61,491;62,61;63,535
Litauen;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;64,177;62,747;60,416;56,989;54,014;50,8;47,307;45,129;47,453;43,045;40,649;38,509;37,39;36,465
