Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Luxemburg;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;68,64;70,08;72,31;73,35;73,39;74,31;75,18;75,92;64,93;74,31;82,65;85,21;85,49;85,88
Luxemburg;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;69,92;71,31;73,54;74,49;74,45;75,32;76,2;77;65,66;75,43;84;86,66;87,05;87,55
Luxemburg;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;27;28,28;29,6;30,4;30,26;30,19;30,14;30,23;28,05;30,43;33,33;33,75;33,82;33,95
Luxemburg;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;84,2;87,28;90,11;93,48;95,24;97,63;99,94;101,8;91,64;101,8;112,6;115,7;116;116,5
Luxemburg;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;435,4;460,3;486,3;500,4;503,2;522,5;538,9;562,3;476;572,6;580,3;654,7;660,6;669,3
Luxemburg;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;408,7;431,8;456,2;468,3;469,8;487,1;501,6;523,2;439,3;530,7;538,3;608;612,4;619,7
Luxemburg;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;7,201;7,807;8,248;8,674;8,699;8,81;9,171;9,761;9,707;11,2;11,34;12,55;13,17;13,88
Luxemburg;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;19,58;20,7;21,82;23,46;24,77;26,55;28,07;29,37;26,98;30,65;30,65;34,16;34,96;35,79
Luxemburg;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;5,719;5,648;2,899;0,56;3,835;3,139;4,342;-15,348;20,294;1,345;12,821;0,901;1,317
Luxemburg;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;5,652;5,651;2,652;0,32;3,682;2,977;4,306;-16,036;20,806;1,432;12,948;0,724;1,192
Luxemburg;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;8,415;5,649;5,165;0,288;1,276;4,098;6,433;-0,553;15,381;1,25;10,67;4,94;5,391
Luxemburg;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;5,72;5,411;7,516;5,584;7,186;5,725;4,631;-8,138;13,603;0;11,452;2,342;2,374
Luxemburg;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;820,3;848,4;877;882,9;868,7;882,6;891,8;913,2;760,4;901,9;903,4;1.009;1.008;1.012
Luxemburg;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;769,8;795,8;822,8;826,2;810,9;822,9;830,2;849,6;701,8;836;838;936,9;934,9;937,3
Luxemburg;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;13,57;14,39;14,88;15,3;15,02;14,88;15,18;15,85;15,51;17,64;17,65;19,34;20,1;21
Luxemburg;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;36,89;38,16;39,35;41,39;42,77;44,85;46,45;47,69;43,09;48,29;47,71;52,63;53,36;54,13
Luxemburg;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;97,559;97,56;97,419;95,629;95,316;94,83;94,051;93,007;91,76
Luxemburg;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;2,441;2,44;2,581;4,371;4,684;5,17;5,949;6,993;8,24
Luxemburg;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Luxemburg;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Luxemburg;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;75,813;76,006;76,352;76,824;77,184;77,63;77,859;78,089;73,158;76,437;77,466;78,647;78,642;78,636
Luxemburg;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;24,187;23,994;23,648;23,176;22,816;22,37;22,141;21,911;26,842;23,563;22,534;21,353;21,358;21,364
Luxemburg;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;17,238;17,357;17,476;17,642;17,855;18,068;18,327;18,512;14,774;17,077;17,873;18,844;18,828;18,808
Luxemburg;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;82,762;82,643;82,524;82,358;82,145;81,932;81,673;81,488;85,226;82,923;82,127;81,156;81,172;81,192
Luxemburg;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;6,344;6,568;6,725;6,823;6,857;7,031;7,168;7,406;7,332;7,705;7,021;7,683;7,726;7,794
Luxemburg;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;5,844;6,055;6,204;6,286;6,31;6,467;6,583;6,794;6,691;7,036;6,409;7,016;7,036;7,078
Luxemburg;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;0,267;0,276;0,279;0,285;0,287;0,292;0,304;0,323;0,346;0,368;0,34;0,372;0,389;0,409
Luxemburg;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;0,233;0,237;0,242;0,251;0,26;0,272;0,281;0,288;0,294;0,301;0,272;0,295;0,301;0,307
Luxemburg;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;3,536;2,392;1,451;0,509;2,533;1,952;3,313;-1;5,092;-8,873;9,431;0,558;0,875
Luxemburg;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;3,599;2,47;1,324;0,373;2,497;1,791;3,21;-1,519;5,151;-8,912;9,48;0,274;0,599
Luxemburg;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;3,504;0,96;2,382;0,745;1,519;4,283;6,099;7,192;6,327;-7,535;9,288;4,713;5,019
Luxemburg;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;1,985;2,077;3,638;3,666;4,534;3,274;2,718;2,045;2,295;-9,598;8,451;2,077;1,967
Luxemburg;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;11,95;12,105;12,128;12,038;11,838;11,878;11,863;12,028;11,712;12,137;10,93;11,839;11,794;11,789
Luxemburg;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;11,009;11,159;11,188;11,092;10,893;10,926;10,895;11,035;10,689;11,083;9,977;10,812;10,74;10,706
Luxemburg;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,502;0,509;0,503;0,503;0,496;0,493;0,504;0,524;0,553;0,58;0,53;0,573;0,594;0,619
Luxemburg;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,438;0,437;0,437;0,443;0,449;0,459;0,465;0,468;0,47;0,474;0,424;0,455;0,46;0,465
Luxemburg;Kaffee;Preis pro Einheit;Average;EUR (€);Statista;69,92;71,31;73,54;74,49;74,45;75,32;76,2;77;65,66;75,43;84;86,66;87,05;87,55
Luxemburg;Kaffee;Preis pro Einheit;Instant-Kaffee;EUR (€);Statista;71,77;73,53;75,09;77,22;77,93;79,11;80,58;81,84;68,92;80,54;90,88;95,47;96,69;98,23
Luxemburg;Kaffee;Preis pro Einheit;Röstkaffee;EUR (€);Statista;69,8;71,17;73,43;74,3;74,21;75,02;75,88;76,62;65,4;75,04;83,47;85,99;86,31;86,72
Luxemburg;Kaffee;Umsatz;Total;Millionen EUR (€);Statista;408,7;431,8;456,2;468,3;469,8;487,1;501,6;523,2;439,3;530,7;538,3;608;612,4;619,7
Luxemburg;Kaffee;Umsatz;Instant-Kaffee;Millionen EUR (€);Statista;27,19;26,82;30,13;31,21;31,67;36,87;36,22;40,02;33,54;40,57;41,49;47,35;48,66;50,06
Luxemburg;Kaffee;Umsatz;Röstkaffee;Millionen EUR (€);Statista;381,5;405;426,1;437,1;438,1;450,2;465,4;483,1;405,8;490,2;496,8;560,7;563,8;569,6
Luxemburg;Kaffee;Umsatzveränderung;Total;Prozent;Statista;;5,652;5,651;2,652;0,32;3,682;2,977;4,306;-16,036;20,806;1,432;12,948;0,724;1,192
Luxemburg;Kaffee;Umsatzveränderung;Instant-Kaffee;Prozent;Statista;;-1,361;12,342;3,584;1,474;16,419;-1,763;10,491;-16,192;20,96;2,268;14,124;2,767;2,877
Luxemburg;Kaffee;Umsatzveränderung;Röstkaffee;Prozent;Statista;;6,16;5,21;2,582;0,229;2,762;3,376;3,803;-16,001;20,798;1,346;12,862;0,553;1,029
Luxemburg;Kaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;769,8;795,8;822,8;826,2;810,9;822,9;830,2;849,6;701,8;836;838;936,9;934,9;937,3
Luxemburg;Kaffee;Durchschnittlicher Umsatz pro Kopf;Instant-Kaffee;EUR (€);Statista;51,21;49,44;54,33;55,07;54,67;62,29;59,95;65;53,58;63,9;64,58;72,95;74,27;75,72
Luxemburg;Kaffee;Durchschnittlicher Umsatz pro Kopf;Röstkaffee;EUR (€);Statista;718,6;746,4;768,4;771,2;756,3;760,6;770,3;784,6;648,3;772,1;773,4;863,9;860,6;861,6
Luxemburg;Kaffee;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;97,479;97,504;97,403;95,515;95,204;94,705;93,892;92,783;91,461
Luxemburg;Kaffee;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;2,521;2,496;2,597;4,485;4,796;5,295;6,108;7,217;8,539
Luxemburg;Kaffee;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Luxemburg;Kaffee;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Luxemburg;Kaffee;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;77,994;78,258;78,665;79,226;79,636;80,068;80,266;80,464;75,926;78,978;79,945;81,039;81,091;81,139
Luxemburg;Kaffee;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;22,006;21,742;21,335;20,774;20,364;19,932;19,734;19,536;24,074;21,022;20,055;18,961;18,909;18,861
Luxemburg;Kaffee;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;18,39;18,512;18,629;18,826;19,072;19,301;19,6;19,815;15,894;18,361;19,223;20,259;20,288;20,313
Luxemburg;Kaffee;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;81,61;81,488;81,371;81,174;80,928;80,699;80,4;80,185;84,106;81,639;80,777;79,741;79,712;79,687
Luxemburg;Kaffee;Volumen;Total;Millionen Kilogramm;Statista;5,844;6,055;6,204;6,286;6,31;6,467;6,583;6,794;6,691;7,036;6,409;7,016;7,036;7,078
