Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Montenegro;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;14,2;15,3;16,71;19,61;23,35;27,82;32,56;36,63;38,28;43,59;50,06;52,63;54,79;57,03
Montenegro;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;14,69;15,91;17,48;20,57;24,61;29,39;34,54;38,97;40,85;46,62;53,62;56,43;58,87;61,42
Montenegro;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,279;5,696;6,068;6,584;7,024;7,54;8,106;8,596;8,831;9,633;10,76;11,01;11,11;11,21
Montenegro;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;15,3;16,47;17,7;19,98;22,53;25,62;28,99;31,84;33,11;37,05;41,98;43,49;44,19;44,78
Montenegro;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;87,7;82,89;81,34;93,15;108,3;125,8;143,8;158,4;132,6;166,9;173,5;199,6;204,9;210,3
Montenegro;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;82,77;77,8;76,05;87,41;102,1;119,3;136,6;150,8;126,3;159,3;165,7;191;196,2;201,5
Montenegro;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;1,781;1,904;2,009;2,114;2,183;2,232;2,402;2,552;2,195;2,691;2,751;3,095;3,124;3,148
Montenegro;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;3,142;3,179;3,28;3,625;3,997;4,331;4,758;4,984;4,108;4,96;4,977;5,529;5,59;5,638
Montenegro;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-5,485;-1,87;14,519;16,264;16,159;14,308;10,153;-16,288;25,867;3,954;15,043;2,655;2,635
Montenegro;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-6,005;-2,249;14,938;16,806;16,846;14,501;10,395;-16,247;26,128;4,018;15,269;2,723;2,701
Montenegro;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;6,906;5,515;5,226;3,264;2,245;7,616;6,245;-13,989;22,597;2,23;12,505;0,937;0,768
Montenegro;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;1,178;3,177;10,518;10,262;8,356;9,859;4,75;-17,576;20,74;0,343;11,091;1,103;0,859
Montenegro;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;140,1;132,3;129,8;148,6;172,6;200,5;229;252,2;211,2;265,8;276,2;318;326,6;335,3
Montenegro;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;132,2;124,2;121,4;139,4;162,8;190,1;217,6;240,2;201,1;253,6;263,9;304,3;312,7;321,3
Montenegro;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;2,846;3,04;3,206;3,372;3,481;3,557;3,826;4,064;3,495;4,284;4,381;4,93;4,979;5,02
Montenegro;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;5,02;5,076;5,235;5,782;6,372;6,901;7,578;7,937;6,541;7,897;7,926;8,807;8,909;8,99
Montenegro;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,735;99,694;99,633;99,356;99,242;99,133;98,977;98,773;98,514
Montenegro;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,265;0,306;0,367;0,644;0,758;0,867;1,023;1,227;1,486
Montenegro;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Montenegro;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Montenegro;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;33,836;37,401;43,606;51,523;59,206;66,358;71,087;74,715;75,686;78,333;79,837;81,121;82,19;83,164
Montenegro;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;66,164;62,599;56,394;48,477;40,794;33,642;28,913;25,285;24,314;21,667;20,163;18,879;17,81;16,836
Montenegro;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;3,949;4,6;5,836;7,835;10,504;13,618;16,627;19,357;20,17;22,675;24,24;25,635;26,598;27,5
Montenegro;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;96,051;95,4;94,164;92,165;89,496;86,382;83,373;80,643;79,83;77,325;75,76;74,365;73,402;72,5
Montenegro;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;6,177;5,416;4,867;4,751;4,637;4,524;4,415;4,324;3,465;3,829;3,465;3,793;3,74;3,687
Montenegro;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;5,635;4,889;4,35;4,248;4,148;4,059;3,955;3,87;3,092;3,416;3,091;3,385;3,333;3,28
Montenegro;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;0,337;0,334;0,331;0,321;0,311;0,296;0,296;0,297;0,249;0,279;0,256;0,281;0,281;0,281
Montenegro;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;0,205;0,193;0,185;0,181;0,177;0,169;0,164;0,157;0,124;0,134;0,119;0,127;0,127;0,126
Montenegro;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;-12,317;-10,149;-2,38;-2,405;-2,435;-2,403;-2,066;-19,865;10,521;-9,514;9,465;-1,386;-1,426
Montenegro;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;-13,232;-11,019;-2,344;-2,353;-2,164;-2,563;-2,13;-20,106;10,479;-9,526;9,51;-1,533;-1,574
Montenegro;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;-0,906;-0,971;-3,024;-3,193;-4,744;0,077;0,197;-16,262;12,358;-8,444;9,961;-0,037;-0,093
Montenegro;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;-5,97;-4,012;-2,084;-2,225;-4,73;-2,904;-4,607;-20,75;7,894;-11,421;7,205;-0,48;-0,477
Montenegro;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;9,869;8,648;7,766;7,578;7,392;7,208;7,033;6,885;5,517;6,097;5,518;6,042;5,961;5,879
Montenegro;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;9,002;7,806;6,942;6,776;6,613;6,467;6,299;6,163;4,923;5,439;4,922;5,392;5,311;5,231
Montenegro;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,539;0,534;0,528;0,512;0,495;0,472;0,472;0,473;0,396;0,445;0,407;0,448;0,448;0,448
Montenegro;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,328;0,308;0,296;0,289;0,283;0,269;0,261;0,249;0,198;0,213;0,189;0,202;0,202;0,201
Montenegro;Instant-Kaffee;Preis pro Einheit;Average;EUR (€);Statista;15,66;16,01;16,1;16,59;17,03;17,66;18,41;18,98;19,12;21,4;25,6;29,78;35,49;42,58
Montenegro;Instant-Kaffee;Preis pro Einheit;Instant-Kaffee, außer Haus;EUR (€);Statista;157,9;156,7;157,6;161,4;165;172,5;181,2;185,8;190,9;201,5;221,3;223,8;226;228,5
Montenegro;Instant-Kaffee;Preis pro Einheit;Instant-Kaffee, zu Hause;EUR (€);Statista;11,71;12,1;12,17;12,56;12,91;13,32;13,79;14,08;14,3;15;16,33;16,38;16,32;16,29
Montenegro;Instant-Kaffee;Umsatz;Total;Millionen EUR (€);Statista;16,91;15,01;13,54;13,8;14,07;14,41;15,13;15,46;12,74;15,69;16,99;21,72;25,65;30,46
Montenegro;Instant-Kaffee;Umsatz;Instant-Kaffee, außer Haus;Millionen EUR (€);Statista;4,608;3,974;3,584;3,633;3,695;3,836;4,111;4,321;3,471;5,071;6,642;10,54;14,93;20,25
Montenegro;Instant-Kaffee;Umsatz;Instant-Kaffee, zu Hause;Millionen EUR (€);Statista;12,3;11,04;9,957;10,16;10,37;10,57;11,02;11,14;9,269;10,62;10,35;11,18;10,72;10,21
Montenegro;Instant-Kaffee;Umsatzveränderung;Total;Prozent;Statista;;-11,236;-9,793;1,92;1,957;2,416;4,997;2,181;-17,594;23,155;8,286;27,84;18,094;18,752
Montenegro;Instant-Kaffee;Umsatzveränderung;Instant-Kaffee, außer Haus;Prozent;Statista;;-13,759;-9,814;1,367;1,707;3,816;7,169;5,108;-19,671;46,096;30,98;58,687;41,651;35,633
Montenegro;Instant-Kaffee;Umsatzveränderung;Instant-Kaffee, zu Hause;Prozent;Statista;;-10,244;-9,81;2,039;2,067;1,929;4,257;1,089;-16,795;14,575;-2,542;8,019;-4,114;-4,757
Montenegro;Instant-Kaffee;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;27,01;23,97;21,61;22,01;22,43;22,95;24,1;24,62;20,28;24,98;27,05;34,6;40,88;48,56
Montenegro;Instant-Kaffee;Durchschnittlicher Umsatz pro Kopf;Instant-Kaffee, außer Haus;EUR (€);Statista;7,362;6,345;5,719;5,795;5,891;6,112;6,549;6,881;5,526;8,074;10,58;16,79;23,8;32,28
Montenegro;Instant-Kaffee;Durchschnittlicher Umsatz pro Kopf;Instant-Kaffee, zu Hause;EUR (€);Statista;19,65;17,62;15,89;16,21;16,54;16,84;17,55;17,74;14,76;16,9;16,48;17,81;17,08;16,28
Montenegro;Instant-Kaffee;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,726;99,68;99,614;99,347;99,248;99,154;99,009;98,805;98,541
Montenegro;Instant-Kaffee;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,274;0,32;0,386;0,653;0,752;0,846;0,991;1,195;1,459
Montenegro;Instant-Kaffee;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Montenegro;Instant-Kaffee;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Montenegro;Instant-Kaffee;Volumen;Total;Millionen Kilogramm;Statista;1,079;0,938;0,841;0,832;0,826;0,816;0,822;0,815;0,666;0,733;0,664;0,729;0,723;0,715
Montenegro;Instant-Kaffee;Volumen;Instant-Kaffee, außer Haus;Millionen Kilogramm;Statista;0,029;0,025;0,023;0,023;0,022;0,022;0,023;0,023;0,018;0,025;0,03;0,047;0,066;0,089
Montenegro;Instant-Kaffee;Volumen;Instant-Kaffee, zu Hause;Millionen Kilogramm;Statista;1,05;0,913;0,818;0,809;0,804;0,794;0,799;0,791;0,648;0,708;0,634;0,682;0,657;0,627
