Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Niederlande;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;47,36;48,55;48,16;50,33;52,32;55,04;56,82;58,34;49,25;58,21;66,32;69,94;70,53;71,19
Niederlande;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;53,13;54,06;53,08;55,1;56,92;59,58;61,72;63,56;53,82;63,81;72,7;76,93;77,88;78,95
Niederlande;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;11,5;13,11;14,44;15,18;15,34;15,36;15,38;15,51;14,05;15,61;17,39;17,84;17,89;17,96
Niederlande;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;29,45;30,81;32,15;33,65;35,34;37,46;39,3;40,84;36,11;41,69;47,15;49,37;49,53;49,77
Niederlande;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;7,253;7,439;7,63;8,483;9,481;10,66;10,62;10,6;8,492;9,953;10,08;11,05;10,92;10,76
Niederlande;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;6,682;6,801;6,916;7,709;8,656;9,792;9,721;9,658;7,634;8,976;9,099;9,963;9,821;9,643
Niederlande;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,15;0,154;0,155;0,156;0,157;0,16;0,165;0,168;0,157;0,171;0,167;0,181;0,183;0,184
Niederlande;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,42;0,485;0,559;0,617;0,668;0,707;0,734;0,773;0,701;0,805;0,81;0,905;0,918;0,93
Niederlande;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,564;2,568;11,18;11,765;12,435;-0,375;-0,188;-19,887;17,204;1,276;9,623;-1,176;-1,465
Niederlande;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;1,781;1,691;11,466;12,284;13,124;-0,725;-0,648;-20,957;17,579;1,37;9,496;-1,425;-1,812
Niederlande;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;2,06;1,042;0,58;0,833;1,906;2,743;1,76;-6,261;9,033;-2,742;8,578;0,994;0,875
Niederlande;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;15,271;15,394;10,39;8,246;5,792;3,89;5,324;-9,386;14,909;0,621;11,624;1,448;1,362
Niederlande;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;431,9;441,6;451,7;500,8;558,3;626,2;622,5;620;495,6;579,6;585,4;640,5;631,8;621,1
Niederlande;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;397,9;403,8;409,4;455,1;509,7;575,3;569,8;564,9;445,5;522,7;528,7;577,6;568,1;556,8
Niederlande;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;8,965;9,117;9,187;9,218;9,269;9,423;9,659;9,811;9,176;9,983;9,688;10,49;10,57;10,65
Niederlande;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;25,03;28,77;33,1;36,45;39,35;41,53;43,05;45,24;40,9;46,9;47,09;52,44;53,09;53,71
Niederlande;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;98,913;98,524;98,006;96,917;96,018;94,92;93,604;92,064;90,292
Niederlande;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;1,087;1,476;1,994;3,083;3,982;5,08;6,396;7,936;9,708
Niederlande;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;67,95;66,347;64,53;63,142;61,864;61,322;60,992;60,665;60,338
Niederlande;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;32,05;33,653;35,47;36,858;38,136;38,678;39,008;39,335;39,662
Niederlande;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;78,078;77,823;77,926;79,491;80,69;81,657;81,782;81,921;76,873;80,379;81,68;82,851;82,963;83,007
Niederlande;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;21,922;22,177;22,074;20,509;19,31;18,343;18,218;18,079;23,127;19,621;18,32;17,149;17,037;16,993
Niederlande;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;18,455;18,655;18,985;19,446;20,011;20,479;20,523;20,615;15,972;18,781;19,891;21,103;21,16;21,187
Niederlande;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;81,545;81,345;81,015;80,554;79,989;79,521;79,477;79,385;84,028;81,219;80,109;78,897;78,84;78,813
Niederlande;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;153,124;153,233;158,424;168,538;181,223;193,657;186,9;181,701;172,433;170,971;151,943;157,972;154,838;151,106
Niederlande;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;125,756;125,798;130,284;139,902;152,056;164,344;157,499;151,948;141,836;140,665;125,165;129,506;126,094;122,146
Niederlande;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;13,095;11,711;10,75;10,287;10,258;10,444;10,714;10,813;11,189;10,986;9,589;10,143;10,217;10,27
Niederlande;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;14,273;15,725;17,39;18,349;18,909;18,868;18,687;18,94;19,409;19,32;17,188;18,323;18,527;18,69
