Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Österreich;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;47,53;48,82;49,84;51;52,7;54,4;54,86;56,4;48,71;57,18;65,04;68,64;69,71;70,9
Österreich;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;53,34;54,53;55,6;56,96;58,91;60,72;61,77;63,45;54,82;64,3;73,09;77,07;78,23;79,58
Österreich;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;9,383;9,559;9,695;9,803;9,95;10,11;10,32;10,55;9,644;10,88;12,19;12,66;12,76;12,89
Österreich;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;41,17;42,69;44,23;45,86;47,82;49,64;51,53;53,22;46,81;54,3;61,4;64,44;65,28;66,19
Österreich;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;2,832;3,158;3,422;3,595;3,746;3,909;3,937;4,135;3,444;4,233;4,394;5,082;5,256;5,415
Österreich;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;2,639;2,944;3,18;3,329;3,458;3,601;3,605;3,78;3,132;3,854;4;4,626;4,779;4,916
Österreich;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,066;0,07;0,074;0,078;0,08;0,08;0,09;0,093;0,084;0,097;0,098;0,109;0,111;0,113
Österreich;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,127;0,144;0,167;0,188;0,208;0,228;0,242;0,262;0,228;0,282;0,296;0,347;0,366;0,386
Österreich;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;11,511;8,36;5,056;4,2;4,351;0,716;5,029;-16,711;22,909;3,803;15,658;3,424;3,025
Österreich;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;11,557;8,016;4,686;3,875;4,135;0,111;4,854;-17,143;23,052;3,788;15,65;3,307;2,867
Österreich;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;6,115;6,535;4,698;2,423;0,739;11,643;3,628;-9,913;15,212;0,9;12,091;1,647;1,62
Österreich;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;13,03;15,972;12,455;10,916;9,313;6,324;8,137;-12,758;23,599;4,959;17,01;5,538;5,493
Österreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;333,1;369,1;397,1;414,2;428,2;443,2;442,8;461,7;382,4;468,1;484,6;559,6;578,1;594,8
Österreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;310,3;344,1;369,1;383,6;395,3;408,2;405,5;422,1;347,8;426,2;441,2;509,4;525,6;540
Österreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;7,751;8,173;8,648;8,987;9,133;9,125;10,1;10,4;9,313;10,69;10,75;12,03;12,22;12,4
Österreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;14,99;16,83;19,38;21,64;23,81;25,82;27,22;29,24;25,36;31,22;32,68;38,18;40,24;42,39
Österreich;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,615;99,487;99,318;98,972;98,666;98,265;97,732;97,004;95,983
Österreich;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,385;0,513;0,682;1,028;1,334;1,735;2,268;2,996;4,017
Österreich;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;65,736;63,891;63,465;62,664;62,1;61,543;61,305;60,967;60,63
Österreich;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;34,264;36,109;36,535;37,336;37,9;38,457;38,695;39,033;39,37
Österreich;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;77,745;78,44;79,138;79,732;80,154;80,293;81,284;81,751;77,898;80,954;82,046;83,27;83,617;83,956
Österreich;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;22,255;21,56;20,862;20,268;19,846;19,707;18,716;18,249;22,102;19,046;17,954;16,73;16,383;16,044
Österreich;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;16,409;16,469;16,48;16,521;16,586;16,667;16,556;16,666;13,359;15,424;16,172;17,093;17,213;17,335
Österreich;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;83,591;83,531;83,52;83,479;83,414;83,333;83,444;83,334;86,641;84,576;83,828;82,907;82,787;82,665
Österreich;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;59,585;64,683;68,657;70,494;71,082;71,85;71,767;73,311;70,709;74,029;67,549;74,032;75,407;76,37
Österreich;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;49,466;53,995;57,198;58,441;58,697;59,3;58,364;59,569;57,133;59,944;54,722;60,019;61,095;61,779
Österreich;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;7,023;7,316;7,684;7,956;8,03;7,963;8,706;8,823;8,697;8,886;8,001;8,633;8,706;8,76
Österreich;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;3,095;3,372;3,775;4,097;4,355;4,588;4,697;4,92;4,879;5,199;4,826;5,38;5,606;5,831
Österreich;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;8,557;6,143;2,675;0,834;1,082;-0,116;2,151;-3,549;4,695;-8,753;9,597;1,857;1,277
Österreich;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;9,155;5,932;2,174;0,437;1,028;-1,578;2,064;-4,089;4,919;-8,711;9,679;1,793;1,12
