Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Polen;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;14,22;14,52;14,93;15,2;15,05;15,86;16,65;17,09;15,53;16,44;18,63;19,65;20,33;21,07
Polen;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;17,63;18,16;18,7;18,99;18,94;20,01;21,25;21,94;19,5;21,07;24,15;25,76;26,86;28,07
Polen;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,086;5,294;5,655;5,826;5,707;5,993;6,151;6,262;5,958;6,037;6,65;6,827;6,966;7,125
Polen;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;15,44;16,04;16,91;17,58;17,45;18,56;19,3;19,85;18,56;19,29;21,55;22,44;22,95;23,51
Polen;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;1,306;1,219;1,175;1,157;1,12;1,143;1,172;1,161;0,964;1,038;1,043;1,178;1,213;1,249
Polen;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;0,822;0,774;0,713;0,653;0,595;0,579;0,605;0,6;0,478;0,524;0,533;0,6;0,616;0,635
Polen;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,105;0,107;0,113;0,114;0,109;0,113;0,113;0,113;0,1;0,102;0,099;0,107;0,107;0,108
Polen;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,378;0,337;0,349;0,389;0,415;0,451;0,454;0,448;0,386;0,411;0,411;0,471;0,49;0,506
Polen;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-6,662;-3,61;-1,532;-3,198;2,054;2,537;-0,939;-17,011;7,732;0,482;12,943;2,971;2,968
Polen;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-5,827;-7,88;-8,4;-8,91;-2,672;4,49;-0,81;-20,393;9,732;1,621;12,613;2,6;3,233
Polen;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;2,284;4,837;1,065;-3,951;3,016;0,532;-0,265;-11,735;2,266;-3,294;8,475;0,187;0,466
Polen;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-10,941;3,591;11,544;6,703;8,52;0,643;-1,278;-13,839;6,58;0;14,609;3,902;3,348
Polen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;34,15;31,93;30,85;30,41;29,48;30,11;30,91;30,65;25,46;27,45;27,63;31,28;32,26;33,31
Polen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;21,5;20,29;18,72;17,17;15,66;15,26;15,96;15,84;12,63;13,87;14,12;15,93;16,37;16,94
Polen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;2,751;2,817;2,959;2,995;2,881;2,968;2,988;2,982;2,635;2,699;2,614;2,839;2,852;2,871
Polen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;9,899;8,832;9,166;10,24;10,94;11,88;11,97;11,83;10,2;10,88;10,9;12,51;13,03;13,5
Polen;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,916;99,906;99,894;99,866;99,853;99,838;99,822;99,802;99,78
