Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Schweiz;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;60,75;60,16;61,23;70,52;69,31;68,39;65,94;68,49;57,85;67,25;76,11;80,19;81,31;82,47
Schweiz;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;65,39;64,27;65,19;74,83;73,67;72,89;70,64;73,57;62,01;72,18;81,85;86,28;87,52;88,83
Schweiz;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;19,45;19,27;19,82;22,65;22,09;21,55;20,63;21,44;19,57;21,7;24,27;25,17;25,53;25,88
Schweiz;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;73,58;73,11;74,68;86,15;85,44;85,03;82,86;86,92;75,83;86,9;98,29;103,4;104,8;106,2
Schweiz;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;3,572;3,559;3,632;4,083;3,899;3,709;3,364;3,416;2,851;3,299;3,244;3,61;3,638;3,67
Schweiz;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;3,293;3,29;3,361;3,781;3,599;3,413;3,076;3,114;2,576;2,993;2,94;3,273;3,296;3,323
Schweiz;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,123;0,112;0,111;0,119;0,116;0,113;0,11;0,116;0,108;0,118;0,116;0,127;0,129;0,131
Schweiz;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,155;0,157;0,16;0,184;0,183;0,183;0,178;0,187;0,166;0,189;0,188;0,21;0,213;0,216
Schweiz;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-0,364;2,051;12,417;-4,506;-4,873;-9,302;1,546;-16,54;15,714;-1,667;11,282;0,776;0,88
Schweiz;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-0,091;2,158;12,496;-4,814;-5,168;-9,874;1,235;-17,277;16,188;-1,771;11,327;0,703;0,819
Schweiz;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-8,699;-0,89;6,739;-2,441;-2,243;-3,089;5,647;-6,552;8,672;-1,273;9,458;1,414;1,317
Schweiz;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;0,838;2,236;14,75;-0,163;-0,164;-2,459;4,594;-11,034;13,546;-0,212;11,371;1,67;1,502
Schweiz;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;446;438,9;442,6;492,2;465,2;438,7;394,6;397,7;329,4;378,6;369,8;408,8;409,5;410,6
Schweiz;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;411,3;405,7;409,6;455,7;429,5;403,6;360,8;362,4;297,6;343,4;335,1;370,7;371;371,8
Schweiz;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;15,35;13,85;13,56;14,32;13,83;13,4;12,87;13,5;12,53;13,51;13,25;14,41;14,53;14,63
Schweiz;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;19,38;19,3;19,49;22,13;21,87;21,64;20,94;21,74;19,19;21,64;21,45;23,74;23,99;24,21
Schweiz;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;98,676;98,238;97,665;96,605;95,657;94,508;93,141;91,544;89,709
Schweiz;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;1,324;1,762;2,335;3,395;4,343;5,492;6,859;8,456;10,291
Schweiz;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;69,183;67,132;66,642;66,062;65,595;65,136;64,684;64,238;63,792
Schweiz;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;30,817;32,868;33,358;33,938;34,405;34,864;35,316;35,762;36,208
Schweiz;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;84,167;84,133;84,019;83,954;83,739;83,572;83,315;83,051;77,894;80,679;81,329;82,2;82,165;82,154
Schweiz;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;15,833;15,867;15,981;16,046;16,261;16,428;16,685;16,949;22,106;19,321;18,671;17,8;17,835;17,846
Schweiz;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;15,817;15,915;16,1;16,314;16,387;16,394;16,293;16,193;12,331;14,412;15,068;15,961;15,961;15,984
Schweiz;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;84,183;84,085;83,9;83,686;83,613;83,606;83,707;83,807;87,669;85,588;84,932;84,039;84,039;84,016
Schweiz;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;58,796;59,153;59,318;57,905;56,248;54,236;51,016;49,882;49,275;49,061;42,623;45,018;44,747;44,496
Schweiz;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;50,367;51,183;51,56;50,528;48,856;46,823;43,541;42,326;41,545;41,464;35,919;37,934;37,658;37,406
Schweiz;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;6,32;5,828;5,616;5,246;5,247;5,26;5,321;5,408;5,539;5,426;4,79;5,056;5,056;5,053
Schweiz;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;2,109;2,141;2,142;2,131;2,145;2,152;2,154;2,148;2,19;2,17;1,915;2,028;2,033;2,037
