Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Slowenien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;26,7;27,07;27,33;26,47;26,94;26,99;27,5;28,18;25,65;29,21;32,9;34,35;35,15;35,98
Slowenien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;30,03;30,41;30,54;29,35;29,8;29,73;30,25;30,98;28,12;32,09;36,15;37,77;38,66;39,6
Slowenien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;9,019;9,533;10,22;10,63;10,82;10,9;10,98;11,12;10,73;11,53;12,68;12,89;12,97;13,06
Slowenien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;20,69;21,99;23,3;24,41;25,67;26,81;28,05;29,05;27,72;30,74;34,3;35,31;35,5;35,71
Slowenien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;253,8;253,9;255,1;250,4;260,6;270,8;285,5;295,5;247,3;298,9;306,7;351,5;363,7;376,1
Slowenien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;235;234,3;234,9;229,5;239;248,6;262,5;272,1;226,2;275,1;283,1;325,4;337,5;349,6
Slowenien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;12,32;13,2;14,1;14,79;15,19;15,46;15,94;16,18;14,62;16,33;16,16;17,78;17,98;18,18
Slowenien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;6,46;6,483;6,151;6,135;6,333;6,721;7,042;7,244;6,417;7,397;7,412;8,252;8,261;8,28
Slowenien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;0,039;0,473;-1,842;4,073;3,914;5,428;3,503;-16,311;20,865;2,61;14,607;3,471;3,409
Slowenien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-0,298;0,256;-2,299;4,139;4,017;5,591;3,657;-16,869;21,618;2,908;14,942;3,719;3,585
Slowenien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;7,143;6,818;4,894;2,705;1,777;3,105;1,506;-9,642;11,696;-1,041;10,025;1,125;1,112
