Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Tschechien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;14,51;15;15,39;16,39;17,18;18,2;18,8;19,11;17,25;19,19;21,01;21,4;21,46;21,52
Tschechien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;16,34;17,54;19,05;21,1;22,35;23,39;23,88;24,16;21,67;24,2;26,56;27,12;27,15;27,27
Tschechien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;6,467;6,536;6,285;6,36;6,354;6,545;6,767;6,811;6,416;6,987;7,628;7,674;7,697;7,731
Tschechien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;21,2;21,61;21,47;22,92;24,48;26,79;26,26;26,38;23,86;26,68;29,73;30,25;30,34;30,47
Tschechien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;393,8;368,3;339,7;341,4;358,9;396,9;434;452,5;412,8;455,8;435,8;471,2;475,9;475,4
Tschechien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;308,7;280,6;254,4;254;269,5;302,1;333,5;349,5;316,7;349,7;331,8;359,3;363,3;361,7
Tschechien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;39,4;42,2;42,2;43,82;44,52;46,34;48,24;48,75;46,4;50,37;48,76;52,14;52,45;52,76
Tschechien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;45,7;45,47;43,13;43,59;44,83;48,38;52,27;54,19;49,7;55,81;55,15;59,76;60,23;60,93
Tschechien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-6,475;-7,765;0,5;5,126;10,588;9,347;4,263;-8,773;10,417;-4,388;8,123;0,997;-0,105
Tschechien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-9,103;-9,337;-0,157;6,102;12,096;10,394;4,798;-9,385;10,42;-5,119;8,288;1,113;-0,44
Tschechien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;7,107;0;3,839;1,597;4,088;4,1;1,057;-4,821;8,556;-3,196;6,932;0,595;0,591
Tschechien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-0,503;-5,146;1,067;2,845;7,919;8,041;3,673;-8,286;12,294;-1,183;8,359;0,786;1,162
Tschechien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;37,22;34,79;32,07;32,2;33,8;37,3;40,69;42,33;38,55;42,5;40,59;43,85;44,26;44,2
Tschechien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;29,18;26,51;24,02;23,96;25,38;28,39;31,27;32,7;29,57;32,6;30,91;33,44;33,78;33,63
Tschechien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;3,723;3,986;3,984;4,133;4,192;4,355;4,523;4,561;4,333;4,696;4,541;4,852;4,878;4,905
Tschechien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;4,319;4,295;4,073;4,111;4,221;4,547;4,901;5,07;4,641;5,204;5,136;5,561;5,602;5,665
Tschechien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,842;99,822;99,8;99,754;99,728;99,699;99,666;99,628;99,582
Tschechien;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,158;0,178;0,2;0,246;0,272;0,301;0,334;0,372;0,418
Tschechien;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;71,077;67,059;62,475;58,543;55,967;54,49;53,265;52,815;52,374
