Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Türkei;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;26,28;27,24;26,8;29,7;30,2;27,64;22,73;22,68;18,17;18,82;21,17;22,26;23,1;23,94
Türkei;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;44,63;45,06;44,04;48,16;48,71;44,52;37,68;38,29;30,04;32,45;37,21;39,81;41,46;43,02
Türkei;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;8,929;9,313;9,148;9,933;9,914;8,848;7,106;6,981;5,678;5,689;6,258;6,436;6,656;6,877
Türkei;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;27,18;28,09;27,48;30,29;30,85;28,07;23,08;23,01;18,54;19,12;21,43;22,47;23,33;24,18
Türkei;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;6,798;7,07;6,986;7,84;8,209;7,694;6,541;6,656;4,964;5,537;6,058;7,059;7,493;7,93
Türkei;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;0,392;0,498;0,622;0,804;0,924;0,913;0,804;0,831;0,592;0,69;0,778;0,94;1,002;1,068
Türkei;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,189;0,203;0,205;0,222;0,244;0,211;0,183;0,186;0,144;0,158;0,167;0,191;0,204;0,217
Türkei;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;6,217;6,369;6,16;6,814;7,041;6,571;5,554;5,639;4,228;4,689;5,114;5,929;6,288;6,645
Türkei;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;4,001;-1,188;12,224;4,707;-6,274;-14,986;1,758;-25,421;11,543;9,409;16,524;6,148;5,832
Türkei;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;27,104;24,754;29,329;14,895;-1,234;-11,91;3,346;-28,74;16,467;12,761;20,82;6,652;6,587
Türkei;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;7,476;1,085;8,443;9,901;-13,759;-12,915;1,363;-22,431;9,431;5,64;14,637;6,803;6,418
Türkei;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;2,445;-3,282;10,617;3,331;-6,675;-15,477;1,53;-25,022;10,904;9,064;15,937;6,055;5,677
