Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ungarn;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;16,3;16,49;16,57;17,04;17,52;18,27;18,58;18,94;16,74;18,71;20,99;21,78;21,91;22,05
Ungarn;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;19,11;19,31;19,02;19,45;20,17;20,99;21,76;22,35;19,78;22,36;25,23;26,37;26,83;27,32
Ungarn;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;7,273;7,418;7,674;7,87;7,928;8,157;8,144;8,268;7,547;8,258;9,211;9,493;9,555;9,625
Ungarn;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;24,28;24,92;25,36;26,56;27,65;29,34;30,12;30,99;27,54;31,08;35,12;36,69;37,07;37,44
Ungarn;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;167;169,1;169,8;175,7;181,6;190,8;196,3;202,3;172,2;200,3;203,3;229,8;234,5;239,2
Ungarn;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;64,84;63,01;60,11;59,94;60,9;62,36;63,77;64,99;53,89;62,92;63,78;71,94;73,38;74,91
Ungarn;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;27,5;28,85;30,41;32,11;33,14;34,98;36,12;37,66;33,96;39,04;39,76;45,07;46,61;48,17
Ungarn;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;74,64;77,2;79,33;83,63;87,6;93,44;96,4;99,62;84,31;98,3;99,81;112,8;114,6;116,2
Ungarn;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;1,257;0,414;3,475;3,358;5,066;2,883;3,057;-14,879;16,318;1,498;13,035;2,045;2,004
Ungarn;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-2,822;-4,602;-0,283;1,602;2,397;2,261;1,913;-17,08;16,756;1,367;12,794;2,002;2,085
Ungarn;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;4,909;5,407;5,59;3,208;5,552;3,259;4,264;-9,825;14,959;1,844;13,355;3,417;3,347
Ungarn;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;3,43;2,759;5,42;4,747;6,667;3,168;3,34;-15,368;16,594;1,536;13,015;1,596;1,396
Ungarn;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;16,93;17,19;17,32;17,97;18,62;19,61;20,22;20,89;17,82;20,79;21,17;24;24,57;25,14
Ungarn;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;6,574;6,407;6,13;6,131;6,244;6,409;6,569;6,711;5,579;6,53;6,639;7,512;7,686;7,874
Ungarn;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;2,788;2,933;3,101;3,284;3,398;3,595;3,721;3,888;3,515;4,052;4,139;4,707;4,883;5,063
Ungarn;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;7,567;7,85;8,091;8,553;8,981;9,604;9,93;10,29;8,727;10,2;10,39;11,78;12;12,21
Ungarn;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,926;99,914;99,901;99,874;99,858;99,839;99,818;99,792;99,76
Ungarn;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,074;0,086;0,099;0,126;0,142;0,161;0,182;0,208;0,24
Ungarn;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;72,518;68,233;64,034;60,406;58,07;56,703;55,596;55,173;54,763
Ungarn;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;27,482;31,767;35,966;39,594;41,93;43,297;44,404;44,827;45,237
Ungarn;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;37,623;38,84;39,713;41,157;42,38;43,875;45,155;46,072;40,975;45,205;46,855;48,577;49,26;49,861
Ungarn;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;62,377;61,16;60,287;58,843;57,62;56,125;54,845;53,928;59,025;54,795;53,145;51,423;50,74;50,139
Ungarn;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;6,037;6,309;6,58;6,839;7,074;7,32;7,543;7,79;6,445;7,571;8,069;8,64;8,794;8,929
Ungarn;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;93,963;93,691;93,42;93,161;92,926;92,68;92,457;92,21;93,555;92,429;91,931;91,36;91,206;91,071
Ungarn;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;10,248;10,25;10,25;10,311;10,367;10,445;10,566;10,677;10,286;10,703;9,685;10,55;10,703;10,849
Ungarn;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;3,392;3,263;3,16;3,082;3,019;2,971;2,93;2,908;2,725;2,813;2,527;2,728;2,735;2,742
Ungarn;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;3,781;3,889;3,962;4,08;4,18;4,288;4,435;4,555;4,499;4,727;4,316;4,748;4,878;5,005
Ungarn;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;3,074;3,098;3,127;3,149;3,168;3,185;3,201;3,215;3,061;3,163;2,842;3,074;3,09;3,102
Ungarn;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;0,026;-0,005;0,597;0,548;0,747;1,164;1,047;-3,666;4,062;-9,511;8,926;1,449;1,366
Ungarn;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;-3,807;-3,17;-2,474;-2,032;-1,584;-1,384;-0,77;-6,285;3,243;-10,159;7,926;0,258;0,274
Ungarn;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;2,852;1,9;2,978;2,448;2,583;3,43;2,686;-1,211;5,059;-8,685;10;2,733;2,598
Ungarn;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;0,781;0,938;0,682;0,61;0,546;0,489;0,438;-4,775;3,325;-10,168;8,182;0,521;0,387
Ungarn;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;1,039;1,042;1,045;1,055;1,063;1,073;1,088;1,102;1,065;1,111;1,008;1,102;1,121;1,14
Ungarn;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kaffee;Kilogramm;Statista;0,344;0,332;0,322;0,315;0,31;0,305;0,302;0,3;0,282;0,292;0,263;0,285;0,286;0,288
Ungarn;Heißgetränke;Durchschnittliches Volumen pro Kopf;Kakao;Kilogramm;Statista;0,383;0,395;0,404;0,417;0,429;0,441;0,457;0,47;0,466;0,491;0,449;0,496;0,511;0,526
Ungarn;Heißgetränke;Durchschnittliches Volumen pro Kopf;Tee;Kilogramm;Statista;0,312;0,315;0,319;0,322;0,325;0,327;0,33;0,332;0,317;0,328;0,296;0,321;0,324;0,326
Ungarn;Kaffee;Nutzer nach Alter;18-24 Jahre;Prozent;Statista|Statista Global Consumer Survey;;;;;;;;;;11,069;;;;
