Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Europa;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;34,63;35,84;36,14;37,26;37,82;38,71;38,66;39,66;34,65;39,53;45,47;46,98;47,47;48,08
Europa;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;41,56;42,92;43,49;44,89;45,8;47,11;47,75;49;42,92;49,5;56,76;58,98;59,7;60,55
Europa;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;8,126;8,515;8,519;8,688;8,638;8,829;8,674;8,933;8,35;8,98;10,16;10,25;10,29;10,34
Europa;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;22,95;23,81;23,27;24,02;24,09;24,14;22,39;23,12;20,21;21,8;24,78;25,45;25,83;26,26
Europa;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;117,1;120,7;121,5;125,6;128,1;132,1;131,9;135,6;111,4;132,4;132,6;151,1;153,8;156,5
Europa;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;99,07;102,2;103,3;106,6;108,8;112,3;113,1;116,1;94,97;113,8;114,6;130,3;132,4;134,5
Europa;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;2,667;2,774;2,751;2,798;2,827;2,883;2,873;2,982;2,707;3,018;2,91;3,251;3,306;3,359
Europa;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;15,31;15,73;15,48;16,18;16,54;16,97;15,93;16,58;13,69;15,55;15,18;17,57;18,08;18,61
Europa;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;3,074;0,663;3,374;1,99;3,123;-0,151;2,805;-17,847;18,851;0,151;13,952;1,787;1,756
Europa;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;3,159;1,076;3,195;2,064;3,217;0,712;2,653;-18,2;19,827;0,703;13,7;1,612;1,586
Europa;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;4,012;-0,829;1,708;1,036;1,981;-0,347;3,794;-9,222;11,489;-3,579;11,718;1,692;1,603
Europa;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;2,743;-1,589;4,522;2,225;2,6;-6,128;4,08;-17,431;13,587;-2,379;15,744;2,903;2,931
Europa;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;141,2;145,1;145,6;150;152,6;156,9;156,2;160,2;131,3;156;156,2;177,9;181,1;184,3
Europa;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;119,5;122,8;123,8;127,3;129,6;133,3;134;137,1;112;134,1;134,9;153,4;155,9;158,5
Europa;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;3,217;3,335;3,297;3,343;3,367;3,423;3,402;3,522;3,193;3,556;3,427;3,827;3,894;3,956
Europa;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;18,47;18,91;18,55;19,33;19,7;20,15;18,86;19,58;16,14;18,32;17,88;20,68;21,3;21,92
Europa;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,197;98,965;98,669;98,089;97,471;96,882;96,192;95,386;94,457
Europa;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,803;1,035;1,331;1,911;2,529;3,118;3,808;4,614;5,543
Europa;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;61,929;59,744;57,895;56,084;54,694;53,43;52,593;52,117;51,669
Europa;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;38,071;40,256;42,105;43,916;45,306;46,57;47,407;47,883;48,331
Europa;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;70,462;70,816;71,763;72,823;73,222;73,597;74,115;74,159;69,746;73,185;74,932;75,947;76,168;76,375
Europa;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;29,538;29,184;28,237;27,177;26,778;26,403;25,885;25,841;30,254;26,815;25,068;24,053;23,832;23,625
Europa;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;14,234;14,457;14,682;14,999;15,309;15,607;15,67;15,801;12,915;14,753;15,863;16,555;16,685;16,812
