Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Aserbaidschan;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;14,41;14,54;14,67;12,77;9,475;9,833;9,747;10,5;9,892;9,911;10,72;10,84;11,03;11,24
Aserbaidschan;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;23,09;22,65;22,5;19,21;14,13;14,49;14,41;15,53;13,79;14,33;15,62;15,95;16,14;16,37
Aserbaidschan;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,668;5,804;5,982;5,201;3,862;3,959;3,919;4,208;4,098;4,029;4,324;4,332;4,429;4,534
Aserbaidschan;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;16,45;16,64;16,88;14,77;11,05;11,41;11,32;12,18;11,67;11,62;12,56;12,7;12,95;13,23
Aserbaidschan;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;139,4;146,6;154;140,3;109,8;125,6;132,4;146,8;139,3;146;137,7;160,6;169;177,6
Aserbaidschan;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;33;35,33;36,22;32,41;24,89;26,61;27,51;30,75;27,21;29,7;28,25;33,2;34,54;35,88
Aserbaidschan;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;15,38;16,33;17,71;15,98;12,72;13,69;14,46;15,93;15,8;16,36;15,28;17,74;18,85;19,99
Aserbaidschan;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;91,01;94,9;100,1;91,89;72,23;85,27;90,48;100,1;96,31;99,93;94,16;109,6;115,6;121,7
Aserbaidschan;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;5,165;5,048;-8,896;-21,739;14,39;5,414;10,876;-5,109;4,81;-5,685;16,63;5,23;5,089
Aserbaidschan;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;7,061;2,519;-10,519;-23,203;6,91;3,382;11,778;-11,512;9,151;-4,882;17,522;4,036;3,88
Aserbaidschan;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;6,177;8,451;-9,768;-20,401;7,626;5,625;10,166;-0,816;3,544;-6,601;16,099;6,257;6,048
Aserbaidschan;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;4,274;5,479;-8,202;-21,395;18,053;6,11;10,632;-3,786;3,759;-5,774;16,398;5,474;5,277
Aserbaidschan;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;15,05;15,62;16,2;14,58;11,28;12,75;13,31;14,61;13,74;14,28;13,37;15,48;16,19;16,92
Aserbaidschan;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;3,562;3,765;3,81;3,368;2,557;2,703;2,765;3,061;2,684;2,905;2,743;3,201;3,31;3,418
Aserbaidschan;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;1,66;1,74;1,863;1,661;1,306;1,39;1,453;1,586;1,559;1,6;1,484;1,711;1,806;1,904
Aserbaidschan;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;9,823;10,11;10,53;9,549;7,419;8,661;9,094;9,965;9,498;9,775;9,142;10,57;11,07;11,6
Aserbaidschan;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,828;99,801;99,757;99,613;99,449;99,401;99,325;99,208;99,067
Aserbaidschan;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,172;0,199;0,243;0,387;0,551;0,599;0,675;0,792;0,933
Aserbaidschan;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Aserbaidschan;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Aserbaidschan;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;27,631;27,013;26,511;26,647;25,803;24,914;24,052;24,097;19,702;22,264;23,041;23,917;23,421;22,96
Aserbaidschan;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;72,369;72,987;73,489;73,353;74,197;75,086;75,948;75,903;80,298;77,736;76,959;76,083;76,579;77,04
