Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Bosnien und Herzegowina;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;28,7;29,88;31,03;32,58;33,96;35,45;36,76;38,07;34,84;40,35;45,56;47,51;47,72;47,97
Bosnien und Herzegowina;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;30,17;31,35;32,48;34,06;35,52;37,09;38,54;39,94;36,6;42,45;47,97;50,07;50,31;50,57
Bosnien und Herzegowina;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;6,724;7,006;7,275;7,549;7,709;7,835;7,934;8,064;7,691;8,466;9,331;9,496;9,421;9,361
Bosnien und Herzegowina;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;24,21;25,26;26,23;27,5;28,56;29,5;30,31;31,09;28,79;32,56;36,29;37,39;37,28;37,2
Bosnien und Herzegowina;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;536,7;552,8;564,7;589,3;612,4;639,1;662,2;687,2;568,9;701,8;720,2;823,2;831,7;839
Bosnien und Herzegowina;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;497,1;513,7;525,7;550,1;572,9;599,1;621,4;645,7;533,3;660;678,5;776,7;785,5;793,2
Bosnien und Herzegowina;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;5,516;5,472;5,326;5,325;5,491;5,538;5,831;6,001;5,483;6,435;6,46;7,271;7,273;7,172
Bosnien und Herzegowina;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;34,04;33,68;33,64;33,96;34;34,47;34,98;35,55;30,19;35,37;35,24;39,15;38,88;38,6
Bosnien und Herzegowina;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;3;2,153;4,356;3,92;4,36;3,614;3,775;-17,215;23,361;2,622;14,302;1,033;0,878
Bosnien und Herzegowina;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;3,339;2,336;4,641;4,145;4,573;3,722;3,911;-17,407;23,758;2,803;14,473;1,133;0,98
Bosnien und Herzegowina;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-0,798;-2,668;-0,019;3,117;0,856;5,291;2,915;-8,632;17,363;0,389;12,554;0,028;-1,389
Bosnien und Herzegowina;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-1,058;-0,119;0,951;0,118;1,382;1,48;1,63;-15,077;17,158;-0,368;11,095;-0,69;-0,72
Bosnien und Herzegowina;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;148,9;156;162,2;171,9;180,9;190,7;199,2;208,2;173,4;215;221,6;254,3;257,9;261,2
Bosnien und Herzegowina;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;137,9;145;151;160,4;169,2;178,8;186,9;195,6;162,5;202,2;208,8;240;243,6;247
Bosnien und Herzegowina;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;1,53;1,545;1,53;1,553;1,622;1,652;1,754;1,818;1,671;1,972;1,988;2,246;2,255;2,233
Bosnien und Herzegowina;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;9,442;9,508;9,66;9,902;10,04;10,28;10,52;10,77;9,201;10,84;10,85;12,1;12,05;12,02
Bosnien und Herzegowina;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,72;99,633;99,535;99,151;98,675;98,642;98,541;98,372;98,165
Bosnien und Herzegowina;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,28;0,367;0,465;0,849;1,325;1,358;1,459;1,628;1,835
Bosnien und Herzegowina;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Bosnien und Herzegowina;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
