Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Finnland;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;33,07;33,88;33,88;33,7;34,44;35,33;36,15;36,72;31,91;36,33;40,84;42,29;42,36;42,47
Finnland;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;33,26;34,05;34,01;33,8;34,56;35,49;36,44;37,05;32,18;36,68;41,27;42,77;42,86;43
Finnland;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;12,95;13,65;13,94;13,91;13,77;13,63;13,61;13,68;12,65;13,93;15,35;15,65;15,6;15,58
Finnland;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;46,75;47,92;49,11;50,39;51,8;53,1;54,36;55,2;49,84;55,81;62,08;63,85;63,95;64,12
Finnland;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;1.896;1.954;1.931;1.861;1.834;1.816;1.778;1.785;1.453;1.734;1.752;1.970;1.988;2.007
Finnland;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;1.822;1.880;1.859;1.792;1.767;1.749;1.710;1.716;1.392;1.665;1.684;1.895;1.913;1.932
Finnland;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;17,59;17,54;16,81;16;15,62;15,76;18,18;19,24;17,76;20,39;20,28;22,88;23,34;23,82
Finnland;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;56,22;57;55,34;53,14;51,89;51,86;49,63;50,08;42,68;48,66;47,79;52,16;51,64;51,32
Finnland;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;3,059;-1,177;-3,625;-1,451;-0,981;-2,093;0,394;-18,599;19,339;1,038;12,443;0,914;0,956
Finnland;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;3,183;-1,117;-3,604;-1,395;-1,019;-2,23;0,351;-18,881;19,612;1,141;12,53;0,95;0,993
Finnland;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-0,284;-4,162;-4,819;-2,375;0,896;15,355;5,831;-7,692;14,809;-0,539;12,821;2,01;2,057
Finnland;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;1,387;-2,912;-3,975;-2,352;-0,058;-4,3;0,907;-14,776;14,011;-1,788;9,144;-0,997;-0,62
Finnland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;350,1;359,3;353,6;339,6;333,6;329,6;321,9;322,7;262,2;312,6;315,5;354,3;357,2;360,3
Finnland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;336,5;345,6;340,4;327;321,3;317,3;309,6;310,2;251,3;300,2;303,2;340,8;343,7;346,8
Finnland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;3,248;3,225;3,079;2,92;2,841;2,86;3,293;3,477;3,206;3,676;3,65;4,115;4,193;4,277
Finnland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;10,38;10,48;10,13;9,696;9,438;9,41;8,987;9,052;7,703;8,77;8,604;9,381;9,279;9,215
Finnland;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,355;99,076;98,682;97,904;97,13;96,124;94,842;93,243;91,283
