Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Irland;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;63,48;65,74;67,67;69,31;70,85;72;71,95;73,38;62,02;72,18;81,69;86,47;86,44;86,56
Irland;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;85,6;87,44;89,26;90,66;92,88;95,78;98,35;100,8;85,86;100;112,3;117,2;117,5;118,1
Irland;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;15,21;16,47;17,43;17,69;17,61;17,4;17,28;17,32;15,72;17,56;19,68;20,29;20,02;19,8
Irland;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;51,59;52,36;52,57;53,62;54,4;55,22;55,85;56,68;47,76;54,23;61,77;66,74;66,32;66,04
Irland;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;1.033;1.038;1.052;1.059;1.045;1.039;986,6;982,8;786;925,8;921,8;1.033;1.029;1.027
Irland;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;578,4;620,2;663,7;684,1;686,5;674,7;631,1;635,5;509,3;619,5;623,4;702,6;705,9;709,7
Irland;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;15,24;17,19;18,83;19,63;19,96;20,03;23,27;23,97;22,22;25,6;26,03;29,21;29,47;29,72
Irland;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;439,1;400,7;369,8;354,9;338,9;344,2;332,2;323,4;254,5;280,7;272,4;300,7;293,4;287,4
Irland;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;0,484;1,349;0,665;-1,322;-0,574;-5,043;-0,385;-20,024;17,786;-0,432;12,063;-0,387;-0,194
Irland;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;7,227;7,014;3,074;0,351;-1,719;-6,462;0,697;-19,858;21,638;0,63;12,705;0,47;0,538
Irland;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;12,795;9,54;4,249;1,681;0,351;16,176;3,008;-7,301;15,212;1,68;12,217;0,89;0,848
