Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Malta;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;69,41;72,35;76,86;82,17;85,88;89,87;92,65;95,75;80,09;96,17;110,3;117,4;118,7;120
Malta;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;80,82;83,97;89,1;95,39;99,66;104,6;108,2;111,9;94,99;113,3;129,6;137,4;138,8;140,3
Malta;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;13,56;14,2;15,01;15,85;16,33;16,67;16,84;17,2;15,16;17,3;19,47;20,36;20,5;20,67
Malta;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;59,77;62,3;65,62;69,68;72,97;75,52;77,06;79,37;66,18;78,75;89,82;95,27;95,88;96,54
Malta;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;125,9;136,2;149,1;161,7;171,4;182,1;190,1;199;167,8;204,3;210,5;241,6;247,3;252,8
Malta;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;93,72;102,5;113,7;124,1;131,8;140,6;146,9;154;127,8;157,8;163,7;189,2;194,2;199,2
Malta;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;2,029;2,225;2,415;2,613;2,75;2,821;2,873;2,959;2,855;3,132;3,089;3,375;3,423;3,469
Malta;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;30,14;31,49;33,03;34,99;36,86;38,73;40,28;42,09;37,17;43,4;43,76;49,08;49,6;50,05
Malta;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;8,181;9,471;8,451;5,999;6,243;4,393;4,682;-15,678;21,752;3,035;14,774;2,359;2,224
Malta;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;9,368;10,927;9,147;6,205;6,677;4,481;4,833;-17,013;23,474;3,739;15,577;2,643;2,575
Malta;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;9,66;8,539;8,199;5,243;2,582;1,843;2,993;-3,515;9,702;-1,373;9,259;1,422;1,344
Malta;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;4,479;4,89;5,934;5,344;5,073;4,002;4,494;-11,689;16,761;0,829;12,157;1,059;0,907
Malta;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;298,5;319,6;346,7;373;393,1;415,9;432,7;452;380;461,5;474,1;542,7;554;565,2
Malta;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;222,2;240,5;264,3;286,3;302,3;321;334,4;349,7;289,4;356,4;368,6;424,9;435,2;445,5
Malta;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;4,81;5,221;5,615;6,027;6,306;6,442;6,542;6,72;6,465;7,072;6,957;7,581;7,67;7,757
Malta;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;71,46;73,89;76,77;80,69;84,52;88,45;91,7;95,59;84,19;98,02;98,54;110,2;111,1;111,9
Malta;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,587;99,499;99,26;98,722;98,106;97,902;97,599;97,179;96,646
Malta;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,413;0,501;0,74;1,278;1,894;2,098;2,401;2,821;3,354
Malta;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Malta;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
Malta;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;84,277;84,546;84,932;85,281;85,675;86,105;86,288;86,591;81,965;85,264;86,358;87,531;87,672;87,795
Malta;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;15,723;15,454;15,068;14,719;14,325;13,895;13,712;13,409;18,035;14,736;13,642;12,469;12,328;12,205
Malta;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;27,122;27,885;28,754;29,534;30,271;30,985;31,528;32,07;24,902;29,64;31,515;33,766;34,075;34,347
Malta;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;72,878;72,115;71,246;70,466;69,729;69,015;68,472;67,93;75,098;70,36;68,485;66,234;65,925;65,653
Malta;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;1,814;1,882;1,94;1,968;1,996;2,027;2,051;2,079;2,095;2,125;1,909;2,058;2,083;2,106
Malta;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;1,16;1,22;1,276;1,301;1,323;1,344;1,358;1,376;1,345;1,392;1,263;1,376;1,399;1,42
Malta;Heißgetränke;Volumen pro Segment;Kakao;Millionen Kilogramm;Statista;0,15;0,157;0,161;0,165;0,168;0,169;0,171;0,172;0,188;0,181;0,159;0,166;0,167;0,168
Malta;Heißgetränke;Volumen pro Segment;Tee;Millionen Kilogramm;Statista;0,504;0,505;0,503;0,502;0,505;0,513;0,523;0,53;0,562;0,551;0,487;0,515;0,517;0,518
Malta;Heißgetränke;Volumenveränderung pro Segment;Total;Prozent;Statista;;3,789;3,078;1,429;1,443;1,513;1,223;1,335;0,792;1,4;-10,143;7,774;1,256;1,092
Malta;Heißgetränke;Volumenveränderung pro Segment;Kaffee;Prozent;Statista;;5,223;4,566;1,971;1,675;1,625;1,017;1,346;-2,267;3,513;-9,28;8,964;1,637;1,487
Malta;Heißgetränke;Volumenveränderung pro Segment;Kakao;Prozent;Statista;;4,699;2,737;2,398;2,168;0,519;0,784;0,861;9,467;-3,908;-12,333;4,495;0,704;0,515
Malta;Heißgetränke;Volumenveränderung pro Segment;Tee;Prozent;Statista;;0,222;-0,41;-0,256;0,601;1,549;1,907;1,462;5,915;-1,881;-11,603;5,759;0,416;0,208
Malta;Heißgetränke;Durchschnittliches Volumen pro Kopf;Total;Kilogramm;Statista;4,3;4,417;4,51;4,539;4,578;4,628;4,67;4,721;4,745;4,798;4,299;4,621;4,668;4,71
