Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Nordmazedonien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;16,21;16,98;17,41;17,88;18,24;18,57;18,78;19,11;18,11;19,79;21,94;22,46;22,47;22,52
Nordmazedonien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;23,38;24,16;24,38;24,76;25,12;25,31;25,75;26,18;24,13;26,79;29,77;30,59;30,64;30,74
Nordmazedonien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;4,817;5,14;5,376;5,579;5,672;5,69;5,708;5,785;5,745;6,087;6,673;6,74;6,715;6,703
Nordmazedonien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;14,72;15,52;15,96;16,56;16,95;17,21;17,36;17,64;17,23;18,5;20,41;20,8;20,76;20,76
Nordmazedonien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;51,9;53,25;53,07;54,65;55,21;55,23;55,5;55,96;47,42;54,98;55,02;61,39;61,57;61,79
Nordmazedonien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;24,35;25,32;25,69;26,19;26,66;26,99;27,45;28,01;22,99;27,46;27,79;31,36;31,59;31,83
Nordmazedonien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;2,063;2,213;2,267;2,359;2,396;2,273;2,329;2,353;2,133;2,409;2,382;2,637;2,626;2,619
Nordmazedonien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;25,48;25,72;25,11;26,1;26,15;25,96;25,72;25,61;22,29;25,12;24,85;27,4;27,36;27,34
Nordmazedonien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,601;-0,338;2,977;1,025;0,036;0,489;0,829;-15,261;15,943;0,073;11,578;0,293;0,357
Nordmazedonien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;3,984;1,461;1,946;1,795;1,238;1,704;2,04;-17,922;19,443;1,202;12,846;0,733;0,76
Nordmazedonien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;7,271;2,44;4,058;1,568;-5,134;2,464;1,03;-9,35;12,94;-1,121;10,705;-0,417;-0,267
Nordmazedonien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;0,942;-2,372;3,943;0,192;-0,727;-0,924;-0,428;-12,964;12,696;-1,075;10,262;-0,146;-0,073
Nordmazedonien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;25,02;25,65;25,54;26,28;26,53;26,53;26,65;26,86;22,76;26,4;26,44;29,52;29,65;29,8
Nordmazedonien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;11,74;12,2;12,37;12,6;12,81;12,96;13,18;13,44;11,04;13,18;13,35;15,08;15,21;15,35
Nordmazedonien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;0,995;1,066;1,091;1,134;1,152;1,092;1,118;1,129;1,024;1,157;1,144;1,268;1,265;1,263
Nordmazedonien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;12,28;12,39;12,09;12,55;12,57;12,47;12,35;12,29;10,7;12,06;11,94;13,18;13,17;13,18
Nordmazedonien;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,779;99,76;99,737;99,574;99,481;99,422;99,271;99,129;98,957
Nordmazedonien;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,221;0,24;0,263;0,426;0,519;0,578;0,729;0,871;1,043
Nordmazedonien;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;62,188;61,152;60,276;59,513;59,662;60,015;60,092;59,927;59,549
Nordmazedonien;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;37,812;38,848;39,724;40,487;40,338;39,985;39,908;40,073;40,451
