Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Norwegen;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;82,56;82,53;80,18;78,8;80,17;84,29;84,63;84,83;66,76;81,35;90,99;95,33;95,58;95,98
Norwegen;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;87,9;87,9;85,49;84,1;85,61;89,95;90,55;91,14;72,23;88,22;98,87;103,7;104,3;105,1
Norwegen;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;20,16;20,15;19,58;18,98;18,89;19,36;19,19;19,19;16,14;18,71;20,6;21,2;21,15;21,16
Norwegen;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;68,11;68,22;65,91;64,82;66,21;69,92;71,22;72,38;59,06;70,48;78,27;81,35;81,11;81,1
Norwegen;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;3,588;3,579;3,444;3,361;3,431;3,679;3,679;3,714;2,769;3,514;3,532;4,001;4,041;4,084
Norwegen;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;3,421;3,409;3,276;3,192;3,256;3,492;3,484;3,508;2,594;3,299;3,314;3,755;3,788;3,823
Norwegen;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,06;0,06;0,058;0,056;0,056;0,058;0,059;0,064;0,058;0,07;0,07;0,078;0,081;0,085
Norwegen;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,107;0,11;0,11;0,112;0,118;0,129;0,136;0,142;0,118;0,145;0,148;0,168;0,172;0,177
Norwegen;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-0,251;-3,772;-2,41;2,083;7,228;0;0,951;-25,444;26,905;0,512;13,279;1;1,064
Norwegen;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-0,351;-3,901;-2,564;2,005;7,248;-0,229;0,689;-26,055;27,178;0,455;13,307;0,879;0,924
Norwegen;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-0,05;-2,813;-3,101;-0,427;2,964;2,878;7,736;-9,731;21,508;0,257;11,054;3,971;4,423
Norwegen;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;2,799;0,091;1,723;5,526;9,206;4,795;4,723;-16,772;23,201;1,443;13,821;2,5;2,671
Norwegen;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;715,6;704,5;669,7;646,3;653,3;694,6;689,3;690,4;510,8;643;640,8;719,9;721;722,8
