Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Portugal;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;31,5;32,51;33,87;35,32;36,8;38,63;39,84;40,9;37,98;42,3;47,16;48,68;49,13;49,63
Portugal;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;35,76;36,07;36,83;38;39,37;41,36;42,47;43,53;40,76;45,17;50,28;51,78;52,26;52,79
Portugal;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;3,647;4,029;4,533;4,984;5,317;5,578;5,759;5,909;5,958;6,38;6,912;6,888;6,864;6,853
Portugal;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;17,81;18,36;19,08;19,99;20,59;20,91;21,08;21,25;20,22;21,79;24,13;24,6;24,57;24,59
Portugal;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;1.503;1.562;1.621;1.683;1.753;1.857;1.937;2.020;1.739;2.090;2.153;2.462;2.530;2.599
Portugal;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;1.457;1.515;1.571;1.630;1.698;1.799;1.879;1.960;1.678;2.024;2.086;2.389;2.456;2.523
Portugal;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;20,18;17,94;15,43;14,07;13,13;13,82;12,86;12,64;13,52;14,09;13,58;14,12;14,11;14,11
Portugal;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;25,41;29,52;34,07;38,39;41,67;43,66;45,23;47,39;47,62;52,37;52,87;58,82;60,34;61,8
Portugal;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;3,925;3,777;3,825;4,159;5,933;4,308;4,285;-13,911;20,184;3,014;14,352;2,762;2,727
Portugal;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;3,981;3,696;3,756;4,172;5,948;4,447;4,311;-14,388;20,62;3,063;14,525;2,805;2,728
Portugal;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-11,1;-13,991;-8,814;-6,681;5,255;-6,946;-1,711;6,962;4,216;-3,62;3,976;-0,071;0
Portugal;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;16,175;15,413;12,68;8,544;4,776;3,596;4,776;0,485;9,975;0,955;11,254;2,584;2,42
Portugal;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;142,8;149,1;155,6;162,3;169,7;180,5;188,9;197,6;170,6;205,6;212,3;243,4;250,8;258,3
Portugal;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;138,4;144,6;150,8;157,2;164,4;174,9;183,2;191,7;164,6;199,1;205,7;236,2;243,4;250,8
Portugal;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;1,917;1,713;1,481;1,357;1,272;1,344;1,254;1,236;1,326;1,386;1,339;1,396;1,399;1,402
Portugal;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;2,414;2,818;3,27;3,702;4,036;4,243;4,41;4,634;4,67;5,15;5,214;5,816;5,982;6,143
Portugal;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,816;99,796;99,774;99,714;99,692;99,668;99,641;99,611;99,577
Portugal;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;0,184;0,204;0,226;0,286;0,308;0,332;0,359;0,389;0,423
Portugal;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;66,679;64,362;62,735;61,659;60,321;58,165;56,195;53,466;50,557
Portugal;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;33,321;35,638;37,265;38,341;39,679;41,835;43,805;46,534;49,443
Portugal;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;71,157;71,541;72,635;74,141;75,666;77,229;78,616;79,299;74,068;77,975;79,436;81,075;81,513;81,904
Portugal;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;28,843;28,459;27,365;25,859;24,334;22,771;21,384;20,701;25,932;22,025;20,564;18,925;18,487;18,096
Portugal;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;42,35;43,103;44,704;46,657;48,444;49,525;50,468;51,025;43,222;48,155;49,967;52,189;52,561;52,893
Portugal;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;57,65;56,897;55,296;53,343;51,556;50,475;49,532;48,975;56,778;51,845;50,033;47,811;47,439;47,107
