Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Rumänien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;21,9;24,08;26,24;29,88;30,91;30,5;29,04;27,94;24,67;26,74;29,23;29,89;29,69;29,36
Rumänien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;22,71;25,03;27,36;31,35;32,56;32,2;30,61;29,53;26,08;28,35;31,03;31,78;31,6;31,28
Rumänien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;6,042;6,41;6,573;6,782;6,896;6,961;7,024;7,012;6,842;7,092;7,629;7,603;7,584;7,579
Rumänien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;18,5;19,65;19,95;19,91;19,23;18,24;18,79;17,93;16,88;17,68;19,41;19,89;19,83;19,89
Rumänien;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;860,5;983,3;1.145;1.392;1.530;1.617;1.637;1.612;1.296;1.499;1.487;1.669;1.667;1.654
Rumänien;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;817,2;935,1;1.092;1.335;1.469;1.552;1.568;1.541;1.230;1.425;1.414;1.588;1.585;1.572
Rumänien;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;8,716;9,732;10,61;11,76;13;14,17;16,48;17,63;16,92;19,15;19,35;21,93;22,9;23,89
Rumänien;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;34,62;38,47;41,54;45;48,19;50,97;52,74;54;49,17;54,52;53,71;59,15;58,75;58,87
Rumänien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;14,271;16,445;21,572;9,914;5,686;1,237;-1,527;-19,603;15,664;-0,801;12,239;-0,12;-0,78
Rumänien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;14,427;16,779;22,253;10,037;5,65;1,031;-1,722;-20,182;15,854;-0,772;12,306;-0,189;-0,82
