Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Russland;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;17,03;18,12;16,11;13,64;13,85;16,64;15,66;17,18;15,44;16,9;18,67;19,2;19,16;19,17
Russland;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;25,51;26,24;22,85;18,82;19;22,32;21,03;22,99;20,06;22,25;24,68;25,51;25,62;25,8
Russland;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,863;6,412;5,861;4,985;5,018;5,992;5,55;6,056;5,641;6,061;6,662;6,799;6,751;6,729
Russland;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;16,01;17,4;15,67;13,47;13,78;16,69;15,63;17,11;15,74;17,06;18,81;19,3;19,16;19,1
Russland;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;5,787;6,229;5,675;4,911;5,139;6,288;6,1;6,768;5,624;6,567;5,158;6,259;6,327;6,387
Russland;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;2,644;2,803;2,515;2,131;2,223;2,715;2,718;3,051;2,461;2,923;2,3;2,806;2,859;2,908
Russland;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,368;0,407;0,379;0,32;0,336;0,394;0,378;0,412;0,358;0,411;0,322;0,389;0,393;0,399
Russland;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;2,775;3,019;2,78;2,46;2,58;3,179;3,004;3,306;2,805;3,233;2,536;3,065;3,075;3,08
Russland;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;7,638;-8,894;-13,463;4,643;22,358;-2,99;10,951;-16,903;16,767;-21,456;21,345;1,086;0,948
Russland;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;6,014;-10,275;-15,268;4,317;22,132;0,11;12,252;-19,338;18,773;-21,314;22;1,889;1,714
Russland;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;10,712;-6,901;-15,695;5,131;17,173;-3,988;8,915;-13,043;14,804;-21,727;20,765;1,21;1,399
Russland;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;8,793;-7,917;-11,511;4,878;23,217;-5,505;10,053;-15,154;15,258;-21,559;20,86;0,326;0,163
Russland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;40,19;43,16;39,23;33,87;35,38;43,21;41,85;46,4;38,54;45,01;35,38;42,98;43,51;44,01
Russland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;18,37;19,42;17,39;14,7;15,3;18,66;18,65;20,91;16,87;20,03;15,78;19,26;19,66;20,04
Russland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;2,555;2,822;2,62;2,204;2,313;2,705;2,594;2,823;2,453;2,817;2,206;2,668;2,704;2,747
Russland;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;19,27;20,92;19,22;16,97;17,76;21,84;20,61;22,66;19,22;22,16;17,39;21,04;21,15;21,22
