Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Slowakei;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;16,03;16,08;16,24;16,06;16,75;16,35;16,82;17,13;16,46;17,82;19,66;20,05;20,13;20,23
Slowakei;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;16,84;16,81;16,88;16,6;17,38;16,9;17,45;17,82;17,11;18,55;20,47;20,87;20,95;21,05
Slowakei;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;7,116;7,414;7,86;8,079;8,188;8,257;8,318;8,391;8,203;8,678;9,441;9,487;9,51;9,547
Slowakei;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;21,2;21,86;22,65;23,26;23,85;24,3;24,66;24,87;23,73;25,39;27,78;28,23;28,31;28,43
Slowakei;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;366,7;374,5;388,8;394;421,3;419,3;440;458,4;432;488,8;491,4;549;563;577,5
Slowakei;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;331,7;337,1;348;350,6;375,6;370,9;389,6;405,9;382,1;433,5;436,7;488,7;501,6;514,8
Slowakei;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;16,45;17,15;18,32;19,25;20,26;21,41;22,58;23,6;22,74;24,79;24,2;26,17;26,47;27,05
Slowakei;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;18,56;20,28;22,45;24,19;25,52;27,01;27,83;28,91;27,16;30,47;30,53;34,15;34,92;35,67
Slowakei;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;2,127;3,818;1,337;6,929;-0,475;4,937;4,182;-5,759;13,148;0,532;11,722;2,55;2,575
Slowakei;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;1,628;3,233;0,747;7,131;-1,251;5,042;4,184;-5,864;13,452;0,738;11,907;2,64;2,632
Slowakei;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;4,255;6,822;5,076;5,247;5,676;5,465;4,517;-3,644;9,015;-2,38;8,14;1,146;2,191
Slowakei;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;9,267;10,7;7,751;5,498;5,839;3,036;3,881;-6,053;12,187;0,197;11,857;2,255;2,148
Slowakei;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;67,71;69,07;71,62;72,49;77,42;76,97;80,68;83,99;79,13;89,51;90,01;100,6;103,2;106
Slowakei;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;61,25;62,17;64,11;64,49;69,01;68,08;71,44;74,37;69,99;79,39;79,98;89,53;91,96;94,46
Slowakei;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;3,038;3,163;3,375;3,541;3,723;3,93;4,14;4,324;4,165;4,54;4,433;4,794;4,852;4,963
Slowakei;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;3,427;3,74;4,135;4,45;4,69;4,958;5,103;5,297;4,974;5,579;5,591;6,257;6,402;6,545
Slowakei;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;99,557;99,482;99,377;98,992;98,852;98,634;98,336;97,941;97,442
