Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Spanien;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;51,75;52,99;54,79;57,4;60,36;63,69;65,14;66,35;59,71;67,55;75,77;78,45;79,29;80,27
Spanien;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;54,25;55,98;58,11;60,93;64,05;67,54;69,2;70,56;63,82;72,15;80,9;83,72;84,58;85,59
Spanien;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;5,805;5,926;6,156;6,431;6,736;7,079;7,377;7,625;7,378;8,076;9,006;9,278;9,277;9,289
Spanien;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;59,64;60,89;61,59;63,06;64,83;67,13;69,26;70,89;64,44;72,17;80,18;82,37;82,36;82,46
Spanien;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;8,919;9,042;9,305;9,709;10,15;10,65;10,43;10,53;8,482;10,27;10,48;11,9;12,11;12,32
Spanien;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;8,761;8,875;9,129;9,522;9,952;10,44;10,21;10,3;8,276;10,03;10,23;11,63;11,83;12,03
Spanien;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,053;0,062;0,068;0,071;0,073;0,075;0,078;0,081;0,077;0,088;0,089;0,099;0,099;0,099
Spanien;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;0,105;0,106;0,108;0,116;0,127;0,139;0,143;0,148;0,129;0,152;0,156;0,177;0,182;0,186
Spanien;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;1,379;2,909;4,342;4,542;4,926;-2,066;0,959;-19,449;21,08;2,045;13,55;1,765;1,734
Spanien;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;1,301;2,862;4,305;4,516;4,904;-2,203;0,881;-19,65;21,194;1,994;13,685;1,72;1,691
Spanien;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;16,581;9,769;5,198;2,829;3,135;3,186;4,348;-5,683;15,083;0,818;11,885;-0,594;-0,213
Spanien;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;0,19;2,746;7,005;9,302;9,85;2,367;3,644;-12,576;17,943;2,098;13,616;2,657;2,368
Spanien;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;189,5;192,7;198,9;208;217,7;228,4;223,5;225,4;181,4;219,7;224,2;255;259,6;264,4
