Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ukraine;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;13,49;13,32;10,37;9,745;9,973;11,33;11,91;14,48;13,69;14,37;16,78;17,95;18,57;19,26
Ukraine;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;14,88;14,71;11,54;10,89;11,25;12,9;13,67;16,75;15,78;16,8;19,76;21,32;22,12;23,01
Ukraine;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;4,505;4,485;3,5;3,243;3,227;3,536;3,61;4,292;4,205;4,214;4,806;5,014;5,171;5,359
Ukraine;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;12,89;12,84;9,963;9,271;9,428;10,52;11;13,21;12,78;13,02;14,95;15,74;16,21;16,77
Ukraine;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;1.489;1.404;1.058;1.006;1.047;1.211;1.282;1.568;1.329;1.503;972,8;1.558;1.639;1.719
Ukraine;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;1.147;1.077;802,5;759,6;786,7;904,1;956,4;1.173;980,6;1.122;729,1;1.173;1.235;1.296
Ukraine;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;46,83;46,52;36,86;34,37;36,62;40,47;43,66;53,13;48,34;53,16;33,85;53,75;57,21;60,78
Ukraine;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;294,5;279,8;218,6;211,8;223,8;266,4;281,6;341,8;299,8;328,7;209,8;330,9;346,7;362,4
Ukraine;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-5,709;-24,644;-4,915;4,076;15,664;5,863;22,309;-15,242;13,093;-35,276;60,156;5,199;4,881
Ukraine;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;-6,103;-25,487;-5,346;3,568;14,923;5,785;22,647;-16,402;14,42;-35,018;60,883;5,286;4,939
Ukraine;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;-0,662;-20,765;-6,755;6,546;10,513;7,882;21,69;-9,016;9,971;-36,324;58,789;6,437;6,24
Ukraine;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-4,992;-21,873;-3,111;5,666;19,035;5,706;21,378;-12,288;9,64;-36,173;57,722;4,775;4,528
