Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Vereinigtes Königreich;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;40,17;40,39;44,63;51,85;47,41;45,11;46,69;49,08;42,12;50,59;58,31;62,33;63,84;65,77
Vereinigtes Königreich;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;67,54;67,38;74,27;86,42;78,22;74,79;77,01;80,15;68,85;81,79;93,64;98,27;99,58;101,6
Vereinigtes Königreich;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;12,68;13,07;12,57;14,68;13,52;12,42;12,57;12,83;11,67;12,97;14,47;14,84;14,93;15,11
Vereinigtes Königreich;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;22,91;22,58;24,02;26,61;24,25;23,24;23,56;24,29;20,99;24,44;27,84;29,17;29,51;30,01
Vereinigtes Königreich;Heißgetränke;Umsatz pro Segment;Total;Milliarden EUR (€);Statista;7,217;7,238;8,035;9,42;8,703;8,519;8,897;9,385;7,837;9,633;10,13;11,79;12,36;12,95
Vereinigtes Königreich;Heißgetränke;Umsatz pro Segment;Kaffee;Milliarden EUR (€);Statista;4,975;5,065;5,772;6,939;6,439;6,288;6,653;7,124;5,916;7,414;7,881;9,298;9,842;10,39
Vereinigtes Königreich;Heißgetränke;Umsatz pro Segment;Kakao;Milliarden EUR (€);Statista;0,232;0,242;0,214;0,267;0,24;0,234;0,24;0,252;0,226;0,248;0,263;0,276;0,284;0,286
Vereinigtes Königreich;Heißgetränke;Umsatz pro Segment;Tee;Milliarden EUR (€);Statista;2,01;1,931;2,049;2,214;2,025;1,996;2,003;2,008;1,695;1,971;1,988;2,213;2,236;2,271
Vereinigtes Königreich;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;0,291;11,011;17,237;-7,611;-2,114;4,437;5,485;-16,494;22,917;5,159;16,387;4,835;4,773
Vereinigtes Königreich;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;1,809;13,959;20,218;-7,206;-2,345;5,805;7,08;-16,957;25,321;6,299;17,98;5,851;5,568
Vereinigtes Königreich;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;4,359;-11,663;25;-10,262;-2,254;2,605;4,952;-10,309;9,593;6,172;4,977;2,823;0,528
Vereinigtes Königreich;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-3,93;6,111;8,053;-8,537;-1,432;0,351;0,25;-15,588;16,283;0,863;11,318;1,039;1,565
Vereinigtes Königreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;111,9;111,4;122,8;143;131,3;127,7;132,5;139;115,4;141,2;147,9;171,4;179,1;186,9
Vereinigtes Königreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;77,11;77,94;88,23;105,4;97,12;94,24;99,09;105,5;87,15;108,7;115;135,2;142,6;150
Vereinigtes Königreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;3,591;3,721;3,266;4,054;3,614;3,51;3,579;3,734;3,332;3,634;3,843;4,018;4,116;4,122
Vereinigtes Königreich;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Tee;EUR (€);Statista;31,15;29,71;31,32;33,61;30,55;29,91;29,84;29,74;24,96;28,89;29,02;32,19;32,4;32,79
Vereinigtes Königreich;Heißgetränke;Online-Umsatzanteil;Offline;Prozent;Statista;;;;;;95,082;94,094;92,976;90,431;89,118;87,737;86,292;84,795;83,257
Vereinigtes Königreich;Heißgetränke;Online-Umsatzanteil;Online;Prozent;Statista;;;;;;4,918;5,906;7,024;9,569;10,882;12,263;13,708;15,205;16,743
Vereinigtes Königreich;Heißgetränke;Mobil- vs. Desktop-Anteil;Desktop;Prozent;Statista;;;;;;54,893;52,428;49,871;46,906;43,322;39,325;36,168;34,062;31,89
Vereinigtes Königreich;Heißgetränke;Mobil- vs. Desktop-Anteil;Mobile;Prozent;Statista;;;;;;45,107;47,572;50,129;53,094;56,678;60,675;63,832;65,938;68,11
Vereinigtes Königreich;Heißgetränke;Außer-Haus-Umsatzanteil;Außer Haus, Umsatzanteil;Prozent;Statista;72,032;72,02;73,666;73,693;75,246;77,391;77,529;78,043;72,954;76,804;78,028;79,449;79,645;79,853
Vereinigtes Königreich;Heißgetränke;Außer-Haus-Umsatzanteil;Zu Hause, Umsatzanteil;Prozent;Statista;27,968;27,98;26,334;26,307;24,754;22,609;22,471;21,957;27,046;23,196;21,972;20,551;20,355;20,147
Vereinigtes Königreich;Heißgetränke;Außer-Haus-Volumenanteil;Außer Haus, Mengenanteil;Prozent;Statista;17,364;17,634;18,221;18,473;18,805;19,062;19,309;19,635;15,56;18,345;19,315;20,664;20,829;21,024
Vereinigtes Königreich;Heißgetränke;Außer-Haus-Volumenanteil;Zu Hause, Mengenanteil;Prozent;Statista;82,636;82,366;81,779;81,527;81,195;80,938;80,691;80,365;84,44;81,655;80,685;79,336;79,171;78,976
Vereinigtes Königreich;Heißgetränke;Volumen pro Segment;Total;Millionen Kilogramm;Statista;179,671;179,202;180,044;181,666;183,565;188,826;190,538;191,222;186,069;190,397;173,748;189,123;193,627;196,832
Vereinigtes Königreich;Heißgetränke;Volumen pro Segment;Kaffee;Millionen Kilogramm;Statista;73,667;75,177;77,724;80,291;82,313;84,081;86,388;88,886;85,932;90,648;84,157;94,622;98,832;102,258
