Region;Markt;Diagram;Name;Einheit;Quelle;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Zypern;Heißgetränke;Preis pro Einheit;Average;EUR (€);Statista;69,58;68,45;68,37;69,64;71,11;72,7;74,28;76,06;65,45;76,5;86,56;90,76;91,04;91,41
Zypern;Heißgetränke;Preis pro Einheit;Kaffee;EUR (€);Statista;76,92;75,29;75,07;76,35;77,88;79,59;81,39;83,43;72,12;84,23;95,28;99,81;100,1;100,6
Zypern;Heißgetränke;Preis pro Einheit;Kakao;EUR (€);Statista;14,01;14,07;14,14;14,32;14,38;14,43;14,55;14,75;13,48;15,01;16,7;17,18;17,14;17,11
Zypern;Heißgetränke;Preis pro Einheit;Tee;EUR (€);Statista;58,88;59,24;59,27;60,4;61,54;62,79;64,41;65,81;57,03;65,85;74,12;77,37;77,38;77,47
Zypern;Heißgetränke;Umsatz pro Segment;Total;Millionen EUR (€);Statista;348,1;347,2;351,7;363,8;377,3;393,6;409,6;428;359,8;439,7;454,4;521,6;533,9;546,3
Zypern;Heißgetränke;Umsatz pro Segment;Kaffee;Millionen EUR (€);Statista;308,3;309;314,6;326,9;340,5;355,7;370,1;387,2;323,8;397,7;412;474;485,7;497,6
Zypern;Heißgetränke;Umsatz pro Segment;Kakao;Millionen EUR (€);Statista;5,861;5,975;6,082;6,222;6,306;6,384;6,639;6,959;6,648;7,551;7,61;8,445;8,611;8,774
Zypern;Heißgetränke;Umsatz pro Segment;Tee;Millionen EUR (€);Statista;33,96;32,22;30,97;30,61;30,48;31,51;32,92;33,85;29,28;34,39;34,84;39,21;39,58;39,87
Zypern;Heißgetränke;Umsatzveränderung pro Segment;Total;Prozent;Statista;;-0,259;1,296;3,44;3,711;4,32;4,065;4,492;-15,935;22,207;3,343;14,789;2,358;2,323
Zypern;Heißgetränke;Umsatzveränderung pro Segment;Kaffee;Prozent;Statista;;0,227;1,812;3,91;4,16;4,464;4,048;4,62;-16,374;22,823;3,596;15,049;2,468;2,45
Zypern;Heißgetränke;Umsatzveränderung pro Segment;Kakao;Prozent;Statista;;1,945;1,791;2,302;1,35;1,237;3,994;4,82;-4,469;13,583;0,781;10,972;1,966;1,893
Zypern;Heißgetränke;Umsatzveränderung pro Segment;Tee;Prozent;Statista;;-5,124;-3,88;-1,162;-0,425;3,379;4,475;2,825;-13,501;17,452;1,309;12,543;0,944;0,733
Zypern;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Total;EUR (€);Statista;306,7;303,5;305,2;313,3;322,4;333,6;344,4;357,1;298;361,7;371,5;423,8;431,3;438,9
Zypern;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kaffee;EUR (€);Statista;271,6;270,1;273;281,6;291;301,5;311,2;323,1;268,2;327,2;336,8;385,1;392,4;399,8
Zypern;Heißgetränke;Durchschnittlicher Umsatz pro Kopf;Kakao;EUR (€);Statista;5,163;5,223;5,278;5,359;5,389;5,411;5,583;5,806;5,506;6,212;6,22;6,862;6,956;7,049
